rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,4,4,3,1,6,94,88,.936,1.59,0,,226,3,.750,0,63,3.59,0,0,0,0,2025-04-30
2,Jordan Binnington,31,STL,4,4,2,2,9,97,88,.907,2.29,0,,236,3,.750,1,91,0.90,0,0,0,0,2025-04-30
3,Mackenzie Blackwood,28,COL,5,5,2,3,12,132,120,.909,2.38,1,,303,3,.600,1,89,1.47,0,0,0,0,2025-04-30
4,Sergei Bobrovsky,36,FLA,4,4,3,1,8,82,74,.902,2.01,1,,239,3,.750,1,96,0.37,0,0,0,0,2025-04-30
5,Eric Comrie,29,WPG,2,0,0,0,1,9,8,.889,2.19,0,,27,0,,0,109,-0.08,0,0,0,0,2025-04-30
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,70,0.43,0,0,0,0,2025-04-30
7,Jakub Dobes,23,MTL,2,1,1,1,4,32,28,.875,2.77,0,,87,0,.000,0,122,-0.73,0,0,0,0,2025-04-30
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,140,-0.29,0,0,0,0,2025-04-30
9,Filip Gustavsson,26,MIN,5,5,2,2,13,161,148,.919,2.63,0,,296,4,.800,0,79,3.43,0,0,0,0,2025-04-30
10,Connor Hellebuyck,31,WPG,4,4,2,2,15,82,67,.817,4.24,0,,212,1,.250,3,179,-6.63,0,0,0,0,2025-04-30
11,Adin Hill,28,VEG,5,5,3,2,15,111,96,.865,3.00,0,,300,3,.600,2,132,-3.67,0,0,0,0,2025-04-30
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,98,0.10,0,0,0,0,2025-04-30
13,Darcy Kuemper,34,LAK,5,5,2,3,18,179,161,.899,3.44,0,,314,3,.600,1,99,0.27,0,0,0,0,2025-04-30
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,196,-0.49,0,0,0,0,2025-04-30
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,87,2.37,0,0,0,0,2025-04-30
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,90,0.76,0,0,0,0,2025-04-30
17,Jake Oettinger,26,DAL,5,5,3,2,13,151,138,.914,2.58,0,,303,4,.800,1,84,2.41,0,0,0,0,2025-04-30
18,Calvin Pickard,32,EDM,4,3,3,0,9,94,85,.904,2.62,0,,206,2,.667,0,94,0.59,0,0,0,0,2025-04-30
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.92,0,0,0,0,2025-04-30
20,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,186,-5.08,0,0,0,0,2025-04-30
21,Anthony Stolarz,31,TOR,5,5,3,2,12,119,107,.899,2.25,0,,320,3,.600,1,99,0.15,0,0,0,2,2025-04-30
22,Logan Thompson,27,WSH,4,4,3,1,10,114,104,.912,2.54,0,,236,3,.750,0,86,1.63,0,0,0,0,2025-04-30
23,Linus Ullmark,31,OTT,5,5,2,3,15,128,113,.883,2.80,1,,322,2,.400,1,115,-1.94,0,0,0,0,2025-04-30
24,Andrei Vasilevskiy,30,TBL,4,4,1,3,11,95,84,.884,2.79,0,,236,2,.500,1,113,-1.30,0,0,0,0,2025-04-30
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.82,0,0,0,0,2025-04-30
