rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,4,1,4,5,2,2,0,1,0,0,2,2,0,7,14.3,82,20:36,3,12,37,27,57.8,2025-04-28
2,Alexander Alexeyev,25,WSH,D,4,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,48,11:55,5,4,0,0,,2025-04-28
3,Michael Amadio,28,OTT,C,4,0,1,1,-2,2,0,0,0,0,1,0,0,3,0.0,66,16:29,0,14,1,0,100.0,2025-04-28
4,Josh Anderson,30,MTL,RW,4,0,1,1,-2,20,0,0,0,0,1,0,0,7,0.0,53,13:17,1,22,1,1,50.0,2025-04-28
5,Michael Anderson,25,LAK,D,4,0,1,1,-2,2,0,0,0,0,1,0,0,2,0.0,111,27:46,5,12,0,0,,2025-04-28
6,Jaret Anderson-Dolan,25,WPG,C,4,1,1,2,0,2,1,0,0,0,1,0,0,3,33.3,32,8:00,2,13,1,0,100.0,2025-04-28
7,Mason Appleton,29,WPG,C,4,0,2,2,1,10,0,0,0,0,1,1,0,5,0.0,61,15:19,2,10,1,1,50.0,2025-04-28
8,Joel Armia,31,MTL,RW,4,0,1,1,1,2,0,0,0,0,1,0,0,4,0.0,52,13:02,0,6,0,0,,2025-04-28
9,Viktor Arvidsson,31,EDM,LW,4,1,0,1,0,2,1,0,0,0,0,0,0,10,10.0,53,13:11,0,3,3,2,60.0,2025-04-28
10,Oskar Back,24,DAL,C,3,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,34,11:29,0,2,1,0,100.0,2025-04-28
11,Uvis Balinskis,28,FLA,D,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,26,12:57,3,4,0,0,,2025-04-28
12,Ivan Barbashev,29,VEG,C,4,1,1,2,-2,2,1,0,0,1,0,1,0,7,14.3,67,16:51,1,20,3,1,75.0,2025-04-28
13,Aleksander Barkov,29,FLA,C,3,0,3,3,-1,0,0,0,0,0,1,2,0,5,0.0,53,17:44,4,6,31,19,62.0,2025-04-28
14,Morgan Barron,26,WPG,C,4,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,47,11:46,1,9,10,11,47.6,2025-04-28
15,Nathan Bastian,27,NJD,RW,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,45,11:19,2,12,0,0,,2025-04-28
16,Drake Batherson,26,OTT,C,4,1,1,2,-2,10,1,0,0,0,0,1,0,9,11.1,71,17:52,2,17,2,2,50.0,2025-04-28
17,Anthony Beauvillier,27,WSH,LW,4,1,4,5,4,0,1,0,0,0,4,0,0,11,9.1,54,13:37,3,12,0,0,,2025-04-28
18,Jamie Benn,35,DAL,LW,4,1,1,2,-2,0,0,1,0,0,0,1,0,8,12.5,62,15:33,4,16,11,23,32.4,2025-04-28
19,Sam Bennett,28,FLA,C,3,2,2,4,0,0,2,0,0,0,2,0,0,8,25.0,44,14:46,2,14,12,16,42.9,2025-04-28
20,Simon Benoit,26,TOR,D,4,1,1,2,0,6,1,0,0,1,1,0,0,3,33.3,76,19:04,9,13,0,0,,2025-04-28
21,Lian Bichsel,20,DAL,D,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,53,13:16,3,18,0,0,,2025-04-28
22,Colin Blackwell,31,DAL,C,3,1,0,1,0,2,1,0,0,1,0,0,0,8,12.5,38,12:44,1,10,2,8,20.0,2025-04-28
23,Jackson Blake,21,CAR,RW,4,0,3,3,1,4,0,0,0,0,3,0,0,9,0.0,75,18:38,0,4,2,1,66.7,2025-04-28
24,Zach Bogosian,34,MIN,D,4,0,1,1,1,0,0,0,0,0,0,0,1,1,0.0,50,12:23,2,5,0,0,,2025-04-28
25,Zachary Bolduc,21,STL,C,4,0,1,1,0,16,0,0,0,0,1,0,0,5,0.0,51,12:48,1,8,0,1,0.0,2025-04-28
26,Matt Boldy,23,MIN,LW,4,4,2,6,3,2,4,0,0,1,1,1,0,12,33.3,100,24:53,3,8,1,3,25.0,2025-04-28
27,Jesper Boqvist,26,FLA,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,8:34,3,6,0,1,0.0,2025-04-28
28,Evan Bouchard,25,EDM,D,4,4,3,7,-2,0,2,2,0,1,3,0,0,19,21.1,107,26:40,4,2,0,0,,2025-04-28
29,Mavrik Bourque,23,DAL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,24,11:54,3,3,3,7,30.0,2025-04-28
30,Jesper Bratt,26,NJD,W,4,1,2,3,-4,0,1,0,0,0,2,0,0,14,7.1,89,22:15,2,5,0,0,,2025-04-28
31,Justin Brazeau,26,MIN,F,4,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,34,8:27,2,17,0,0,,2025-04-28
32,Philip Broberg,23,STL,D,4,0,0,0,4,2,0,0,0,0,0,0,0,5,0.0,81,20:18,4,1,0,0,,2025-04-28
33,Jonas Brodin,31,MIN,D,4,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,105,26:16,9,5,0,0,,2025-04-28
34,Connor Brown,31,EDM,RW,4,2,0,2,-1,0,2,0,0,0,0,0,0,6,33.3,58,14:33,1,3,3,2,60.0,2025-04-28
35,Josh Brown,31,EDM,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:54,3,0,0,0,,2025-04-28
36,Pavel Buchnevich,29,STL,LW,4,3,4,7,1,12,2,1,0,0,2,2,0,6,50.0,78,19:27,2,8,1,1,50.0,2025-04-28
37,Zeev Buium,19,MIN,D,4,0,1,1,-1,4,0,0,0,0,0,1,0,2,0.0,54,13:36,1,3,0,0,,2025-04-28
38,Brent Burns,39,CAR,D,4,1,1,2,-1,2,1,0,0,0,1,0,0,5,20.0,90,22:31,5,2,0,0,,2025-04-28
39,Quinton Byfield,22,LAK,C,4,2,1,3,-3,2,2,0,0,0,1,0,0,13,15.4,94,23:25,1,11,21,32,39.6,2025-04-28
40,Brandon Carlo,28,TOR,D,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,78,19:33,10,1,0,0,,2025-04-28
41,John Carlson,35,WSH,D,4,0,0,0,4,2,0,0,0,0,0,0,0,6,0.0,97,24:13,6,0,0,0,,2025-04-28
42,Alexandre Carrier,28,MTL,D,4,1,1,2,0,0,1,0,0,0,1,0,0,6,16.7,81,20:08,11,7,0,0,,2025-04-28
43,William Carrier,30,CAR,LW,4,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,50,12:32,2,15,0,0,,2025-04-28
44,Cole Caufield,24,MTL,RW,4,3,1,4,-4,0,1,2,0,0,1,0,0,21,14.3,79,19:39,0,2,1,1,50.0,2025-04-28
45,Cody Ceci,31,DAL,D,4,0,1,1,-3,0,0,0,0,0,1,0,0,3,0.0,91,22:40,5,10,0,0,,2025-04-28
46,Erik Černák,27,TBL,D,3,0,0,0,2,2,0,0,0,0,0,0,0,8,0.0,54,18:00,1,8,0,0,,2025-04-28
47,Thomas Chabot,28,OTT,D,4,0,1,1,-3,0,0,0,0,0,0,1,0,6,0.0,105,26:10,7,4,0,0,,2025-04-28
48,Mitchell Chaffee,27,TBL,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,10:29,1,3,0,0,,2025-04-28
49,Jalen Chatfield,28,CAR,D,4,1,0,1,4,4,1,0,0,0,0,0,0,3,33.3,82,20:37,5,4,0,0,,2025-04-28
50,Dennis Cholowski,26,NJD,D,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,8:59,2,0,0,0,,2025-04-28
51,Jakob Chychrun,26,WSH,D,4,1,1,2,5,4,1,0,0,0,1,0,0,8,12.5,91,22:51,13,5,0,0,,2025-04-28
52,Anthony Cirelli,27,TBL,C,3,1,0,1,-2,18,1,0,0,0,0,0,0,2,50.0,41,13:38,4,12,23,18,56.1,2025-04-28
53,Brandt Clarke,21,LAK,D,4,1,0,1,2,0,0,1,0,0,0,0,0,4,25.0,47,11:49,5,2,0,0,,2025-04-28
54,Ross Colton,28,COL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,7:04,0,3,1,0,100.0,2025-04-28
55,Kyle Connor,28,WPG,LW,4,3,2,5,-1,0,3,0,0,2,1,1,0,11,27.3,80,20:02,4,1,0,0,,2025-04-28
56,Paul Cotter,25,NJD,C,4,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,56,14:00,3,13,0,1,0.0,2025-04-28
57,Nick Cousins,31,OTT,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,31,10:26,0,8,0,0,,2025-04-28
58,Charlie Coyle,32,COL,C,4,1,0,1,-2,0,1,0,0,0,0,0,0,3,33.3,57,14:17,1,12,30,20,60.0,2025-04-28
59,Dylan Cozens,23,OTT,C,4,0,1,1,-1,12,0,0,0,0,1,0,0,11,0.0,67,16:41,1,21,15,20,42.9,2025-04-28
60,Evgenii Dadonov,35,DAL,RW,4,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,52,12:58,3,6,0,0,,2025-04-28
61,Phillip Danault,31,LAK,C,4,2,5,7,3,0,2,0,0,1,3,2,0,7,28.6,86,21:31,10,6,45,42,51.7,2025-04-28
62,Dylan DeMelo,31,WPG,D,3,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,63,20:52,5,5,0,0,,2025-04-28
63,Ivan Demidov,19,MTL,RW,4,0,2,2,-4,0,0,0,0,0,0,2,0,2,0.0,54,13:31,1,7,0,0,,2025-04-28
64,Brenden Dillon,34,NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:53,0,4,0,0,,2025-04-28
65,Max Domi,29,TOR,LW,4,1,0,1,-1,4,1,0,0,1,0,0,0,7,14.3,57,14:17,0,7,16,11,59.3,2025-04-28
66,Pavel Dorofeyev,24,VEG,LW,4,1,1,2,-4,0,0,1,0,0,0,1,0,13,7.7,71,17:42,2,3,0,0,,2025-04-28
67,Drew Doughty,35,LAK,D,4,1,2,3,-3,4,0,1,0,0,2,0,0,8,12.5,109,27:16,6,2,0,0,,2025-04-28
68,Nic Dowd,34,WSH,C,4,0,1,1,1,4,0,0,0,0,1,0,0,5,0.0,59,14:46,9,10,29,23,55.8,2025-04-28
69,Justin Dowling,34,NJD,C,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,46,11:23,0,10,17,23,42.5,2025-04-28
70,Leon Draisaitl,29,EDM,C,4,3,6,9,5,2,2,1,0,1,3,3,0,13,23.1,94,23:23,1,7,40,33,54.8,2025-04-28
71,Jonathan Drouin,29,COL,LW,4,0,3,3,-2,0,0,0,0,0,0,3,0,4,0.0,70,17:34,3,3,3,0,100.0,2025-04-28
72,Jack Drury,24,COL,C,4,1,1,2,2,2,1,0,0,0,1,0,0,5,20.0,53,13:18,3,3,22,15,59.5,2025-04-28
73,Pierre-Luc Dubois,26,WSH,LW,4,0,1,1,2,2,0,0,0,0,1,0,0,6,0.0,69,17:19,3,8,32,25,56.1,2025-04-28
74,Matt Duchene,34,DAL,C,4,0,0,0,-2,2,0,0,0,0,0,0,0,7,0.0,74,18:27,3,4,7,8,46.7,2025-04-28
75,Brandon Duhaime,27,WSH,RW,4,2,0,2,0,6,2,0,0,0,0,0,0,6,33.3,60,15:03,4,15,0,2,0.0,2025-04-28
