rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,3,3,2,1,5,87,82,.943,1.48,0,,202,3,1.000,0,54,4.18,0,0,0,0,2025-04-27
2,Jordan Binnington,31,STL,3,3,1,2,8,66,58,.879,2.72,0,,176,2,.667,1,115,-1.04,0,0,0,0,2025-04-27
3,Mackenzie Blackwood,28,COL,4,4,2,2,7,114,107,.939,1.60,1,,263,3,.750,0,58,5.02,0,0,0,0,2025-04-27
4,Sergei Bobrovsky,36,FLA,3,3,2,1,6,62,56,.903,2.01,1,,179,2,.667,1,92,0.54,0,0,0,0,2025-04-27
5,Eric Comrie,29,WPG,1,0,0,0,1,3,2,.667,6.34,0,,9,0,,0,316,-0.68,0,0,0,0,2025-04-27
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,68,0.48,0,0,0,0,2025-04-27
7,Jakub Dobes,23,MTL,1,0,1,0,1,8,7,.875,2.12,0,,28,0,,0,119,-0.16,0,0,0,0,2025-04-27
8,Filip Gustavsson,26,MIN,4,4,2,2,11,136,125,.919,2.58,0,,256,3,.750,0,77,3.34,0,0,0,0,2025-04-27
9,Connor Hellebuyck,31,WPG,3,3,2,1,10,64,54,.844,3.52,0,,170,1,.333,2,148,-3.25,0,0,0,0,2025-04-27
10,Adin Hill,28,VEG,4,4,2,2,13,89,76,.854,3.30,0,,236,2,.500,2,138,-3.61,0,0,0,0,2025-04-27
11,Darcy Kuemper,34,LAK,3,3,2,1,12,85,73,.859,4.04,0,,178,1,.333,1,134,-3.03,0,0,0,0,2025-04-27
12,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,190,-0.47,0,0,0,0,2025-04-27
13,Jacob Markström,35,NJD,3,3,1,2,7,98,91,.929,2.08,0,,202,3,1.000,0,68,3.34,0,0,0,0,2025-04-27
14,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,87,1.02,0,0,0,0,2025-04-27
15,Jake Oettinger,26,DAL,4,4,2,2,11,123,112,.911,2.72,0,,243,3,.750,1,85,1.97,0,0,0,0,2025-04-27
16,Calvin Pickard,32,EDM,2,1,1,0,5,31,26,.839,4.32,0,,70,0,.000,0,153,-1.73,0,0,0,0,2025-04-27
17,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.95,0,0,0,0,2025-04-27
18,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,180,-4.88,0,0,0,0,2025-04-27
19,Anthony Stolarz,31,TOR,4,4,3,1,10,102,92,.902,2.29,0,,262,3,.750,1,93,0.76,0,0,0,2,2025-04-27
20,Logan Thompson,27,WSH,3,3,2,1,8,96,88,.917,2.73,0,,176,2,.667,0,79,2.13,0,0,0,0,2025-04-27
21,Linus Ullmark,31,OTT,4,4,1,3,15,99,84,.848,3.44,0,,262,1,.250,1,144,-4.56,0,0,0,0,2025-04-27
22,Andrei Vasilevskiy,30,TBL,3,3,1,2,8,73,65,.890,2.70,0,,178,2,.667,1,104,-0.30,0,0,0,0,2025-04-27
