rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,4,4,3,1,6,94,88,.936,1.59,0,,226,3,.750,0,60,3.95,0,0,0,0,2025-05-03
2,Jordan Binnington,31,STL,6,6,3,3,15,145,130,.897,2.54,0,,354,4,.667,2,98,0.34,0,0,0,0,2025-05-03
3,Mackenzie Blackwood,28,COL,6,6,3,3,16,158,142,.899,2.65,1,,363,3,.500,2,96,0.72,0,0,0,0,2025-05-03
4,Sergei Bobrovsky,36,FLA,5,5,4,1,11,111,100,.901,2.21,1,,299,3,.600,1,94,0.75,0,0,0,0,2025-05-03
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,73,0.38,0,0,0,0,2025-05-03
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,67,0.48,0,0,0,0,2025-05-03
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,112,-0.76,0,0,0,0,2025-05-03
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,135,-0.26,0,0,0,0,2025-05-03
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,82,3.58,0,0,0,0,2025-05-03
10,Connor Hellebuyck,31,WPG,6,6,3,3,23,124,101,.815,4.42,0,,312,1,.167,5,175,-9.88,0,0,0,0,2025-05-03
11,Adin Hill,28,VEG,6,6,4,2,17,142,125,.880,2.83,0,,360,4,.667,2,113,-1.97,0,0,0,0,2025-05-03
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,94,0.29,0,0,0,0,2025-05-03
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,105,-1.09,0,0,0,0,2025-05-03
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,189,-0.47,0,0,0,0,2025-05-03
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,84,3.05,0,0,0,0,2025-05-03
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,87,1.04,0,0,0,0,2025-05-03
17,Jake Oettinger,26,DAL,6,6,3,3,18,197,179,.909,2.99,0,,361,4,.667,1,86,2.85,0,0,0,0,2025-05-03
18,Calvin Pickard,32,EDM,5,4,4,0,13,121,108,.893,2.93,0,,266,2,.500,0,102,-0.20,0,0,0,0,2025-05-03
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.95,0,0,0,0,2025-05-03
20,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,179,-4.86,0,0,0,0,2025-05-03
21,Anthony Stolarz,31,TOR,6,6,4,2,14,142,128,.901,2.21,0,,380,4,.667,1,93,1.03,0,0,0,2,2025-05-03
22,Logan Thompson,27,WSH,5,5,4,1,11,143,132,.923,2.23,0,,296,4,.800,0,73,4.13,0,0,0,0,2025-05-03
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,113,-2.13,0,0,0,0,2025-05-03
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,121,-2.77,0,0,0,0,2025-05-03
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.85,0,0,0,0,2025-05-03
