rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,15,7,8,15,3,8,4,3,0,1,4,4,0,41,17.1,312,20:48,10,45,144,121,54.3,2025-06-08
2,Alexander Alexeyev,25,WSH,D,10,0,0,0,-2,4,0,0,0,0,0,0,0,6,0.0,104,10:25,12,12,0,0,,2025-06-08
3,Michael Amadio,28,OTT,C,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,99,16:32,0,22,2,0,100.0,2025-06-08
4,Josh Anderson,30,MTL,RW,5,0,1,1,-2,20,0,0,0,0,1,0,0,11,0.0,69,13:53,1,26,1,3,25.0,2025-06-08
5,Michael Anderson,25,LAK,D,6,0,1,1,-4,2,0,0,0,0,1,0,0,4,0.0,153,25:25,7,22,0,0,,2025-06-08
6,Jaret Anderson-Dolan,25,WPG,C,5,1,1,2,-1,2,1,0,0,0,1,0,0,3,33.3,42,8:20,2,19,2,0,100.0,2025-06-08
7,Mason Appleton,29,WPG,C,13,0,7,7,5,14,0,0,0,0,5,2,0,16,0.0,193,14:51,7,28,1,2,33.3,2025-06-08
8,Joel Armia,31,MTL,RW,5,0,2,2,2,2,0,0,0,0,2,0,0,4,0.0,62,12:24,0,8,0,0,,2025-06-08
9,Viktor Arvidsson,31,EDM,LW,13,2,5,7,4,4,2,0,0,0,5,0,0,24,8.3,154,11:49,4,15,3,4,42.9,2025-06-08
10,Oskar Back,24,DAL,C,11,0,2,2,-2,2,0,0,0,0,2,0,0,2,0.0,121,11:03,5,8,5,2,71.4,2025-06-08
11,Uvis Balinskis,28,FLA,D,5,1,0,1,4,2,1,0,0,0,0,0,0,4,25.0,63,12:35,7,8,0,0,,2025-06-08
12,Ivan Barbashev,29,VEG,C,11,1,1,2,-9,6,1,0,0,1,0,1,0,14,7.1,193,17:30,6,43,7,4,63.6,2025-06-08
13,Aleksander Barkov,29,FLA,C,19,6,11,17,0,2,4,2,0,0,7,4,0,40,15.0,387,20:22,19,47,216,156,58.1,2025-06-08
14,Morgan Barron,26,WPG,C,13,0,2,2,-6,2,0,0,0,0,2,0,0,13,0.0,156,12:02,1,37,47,54,46.5,2025-06-08
15,Nathan Bastian,27,NJD,RW,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,58,11:36,3,15,0,0,,2025-06-08
16,Drake Batherson,26,OTT,C,6,1,1,2,-4,10,1,0,0,0,0,1,0,9,11.1,105,17:29,3,27,2,2,50.0,2025-06-08
17,Anthony Beauvillier,27,WSH,LW,10,2,4,6,1,2,2,0,0,0,4,0,0,21,9.5,130,13:03,4,31,0,0,,2025-06-08
18,Jamie Benn,35,DAL,LW,18,1,2,3,-11,26,0,1,0,0,1,1,0,25,4.0,236,13:06,14,66,41,49,45.6,2025-06-08
19,Sam Bennett,28,FLA,C,19,13,6,19,3,28,9,4,0,1,6,0,0,58,22.4,332,17:28,9,91,75,123,37.9,2025-06-08
20,Simon Benoit,26,TOR,D,13,1,1,2,-3,10,1,0,0,1,1,0,0,11,9.1,239,18:23,39,42,0,0,,2025-06-08
21,Lian Bichsel,20,DAL,D,18,0,1,1,0,28,0,0,0,0,1,0,0,12,0.0,212,11:47,9,75,0,0,,2025-06-08
22,Colin Blackwell,31,DAL,C,11,1,0,1,-5,6,1,0,0,1,0,0,0,16,6.3,121,11:02,5,26,26,27,49.1,2025-06-08
23,Jackson Blake,21,CAR,RW,15,3,3,6,0,16,1,2,0,0,3,0,0,26,11.5,254,16:55,1,17,3,7,30.0,2025-06-08
24,Zach Bogosian,34,MIN,D,6,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,78,13:00,4,6,0,0,,2025-06-08
25,Zachary Bolduc,21,STL,C,7,0,1,1,-1,16,0,0,0,0,1,0,0,7,0.0,93,13:17,2,19,0,1,0.0,2025-06-08
26,Matt Boldy,23,MIN,LW,6,5,2,7,0,2,5,0,0,1,1,1,0,20,25.0,150,25:01,5,12,1,4,20.0,2025-06-08
27,Jesper Boqvist,26,FLA,C,13,2,3,5,1,0,2,0,0,0,3,0,0,7,28.6,124,9:33,4,41,2,3,40.0,2025-06-08
28,Evan Bouchard,25,EDM,D,18,7,14,21,11,8,5,2,0,1,11,3,0,52,13.5,467,25:55,26,7,0,0,,2025-06-08
29,Mavrik Bourque,23,DAL,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,8,0.0,32,10:32,3,6,3,7,30.0,2025-06-08
