rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,3,1,2,3,-1,2,0,1,0,0,1,1,0,7,14.3,64,21:24,2,9,26,22,54.2,2025-04-27
2,Alexander Alexeyev,25,WSH,D,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,39,12:54,4,3,0,0,,2025-04-27
3,Michael Amadio,28,OTT,C,4,0,1,1,-2,2,0,0,0,0,1,0,0,3,0.0,66,16:29,0,14,1,0,100.0,2025-04-27
4,Josh Anderson,30,MTL,RW,3,0,1,1,-1,18,0,0,0,0,1,0,0,5,0.0,39,13:02,0,16,1,0,100.0,2025-04-27
5,Michael Anderson,25,LAK,D,3,0,1,1,-3,2,0,0,0,0,1,0,0,2,0.0,77,25:37,4,5,0,0,,2025-04-27
6,Jaret Anderson-Dolan,25,WPG,C,3,1,1,2,1,2,1,0,0,0,1,0,0,2,50.0,21,7:08,2,9,0,0,,2025-04-27
7,Mason Appleton,29,WPG,C,3,0,2,2,1,0,0,0,0,0,1,1,0,5,0.0,45,14:59,2,8,1,1,50.0,2025-04-27
8,Joel Armia,31,MTL,RW,3,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,37,12:23,0,3,0,0,,2025-04-27
9,Viktor Arvidsson,31,EDM,LW,3,1,0,1,0,0,1,0,0,0,0,0,0,8,12.5,41,13:32,0,3,2,2,50.0,2025-04-27
10,Oskar Back,24,DAL,C,3,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,34,11:29,0,2,1,0,100.0,2025-04-27
11,Uvis Balinskis,28,FLA,D,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,26,12:57,3,4,0,0,,2025-04-27
12,Ivan Barbashev,29,VEG,C,4,1,1,2,-2,2,1,0,0,1,0,1,0,7,14.3,67,16:51,1,20,3,1,75.0,2025-04-27
13,Aleksander Barkov,29,FLA,C,3,0,3,3,-1,0,0,0,0,0,1,2,0,5,0.0,53,17:44,4,6,31,19,62.0,2025-04-27
14,Morgan Barron,26,WPG,C,3,0,2,2,1,0,0,0,0,0,2,0,0,0,,30,9:54,1,5,8,11,42.1,2025-04-27
15,Nathan Bastian,27,NJD,RW,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,35,11:41,2,12,0,0,,2025-04-27
