rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,7,7,5,2,9,149,140,.940,1.32,1,,408,6,.857,0,57,6.79,0,0,0,0,2025-05-12
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,93,1.35,0,0,0,0,2025-05-12
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,102,-0.35,0,0,0,0,2025-05-12
4,Sergei Bobrovsky,36,FLA,9,9,6,3,24,215,191,.888,2.62,2,,549,4,.444,3,105,-1.22,0,0,0,0,2025-05-12
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,73,0.38,0,0,0,0,2025-05-12
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,67,0.48,0,0,0,0,2025-05-12
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,112,-0.75,0,0,0,0,2025-05-12
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,135,-0.26,0,0,0,0,2025-05-12
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,82,3.61,0,0,0,0,2025-05-12
10,Connor Hellebuyck,31,WPG,10,10,5,5,34,224,190,.848,3.51,1,,581,2,.200,6,143,-10.26,0,0,0,0,2025-05-12
11,Adin Hill,28,VEG,9,9,5,4,29,227,198,.872,3.14,0,,554,4,.444,2,121,-4.94,0,0,0,0,2025-05-12
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,94,0.30,0,0,0,0,2025-05-12
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,105,-1.06,0,0,0,0,2025-05-12
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,189,-0.47,0,0,0,0,2025-05-12
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,84,3.08,0,0,0,0,2025-05-12
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,87,1.05,0,0,0,0,2025-05-12
17,Jake Oettinger,26,DAL,10,10,6,4,27,304,277,.911,2.71,0,,599,7,.700,1,84,5.22,0,0,0,0,2025-05-12
18,Calvin Pickard,32,EDM,7,6,6,0,19,170,151,.888,2.84,0,,401,2,.333,0,105,-0.98,0,0,0,0,2025-05-12
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.95,0,0,0,0,2025-05-12
20,Stuart Skinner,26,EDM,3,3,0,3,15,82,67,.817,5.36,0,,168,0,.000,3,173,-6.31,0,0,0,0,2025-05-12
21,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,94,1.00,0,0,0,2,2025-05-12
22,Logan Thompson,27,WSH,8,8,5,3,18,232,214,.922,2.26,0,,478,6,.750,0,73,6.59,0,0,0,0,2025-05-12
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,113,-2.10,0,0,0,0,2025-05-12
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,121,-2.75,0,0,0,0,2025-05-12
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.85,0,0,0,0,2025-05-12
26,Joseph Woll,26,TOR,4,3,2,2,13,121,108,.893,3.51,0,,222,1,.333,0,101,-0.18,0,0,0,0,2025-05-12
