rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,7,7,5,2,9,149,140,.940,1.32,1,,408,6,.857,0,57,6.92,0,0,0,0,2025-05-11
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,93,1.51,0,0,0,0,2025-05-11
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,101,-0.20,0,0,0,0,2025-05-11
4,Sergei Bobrovsky,36,FLA,8,8,5,3,24,192,168,.875,2.94,1,,489,3,.375,3,117,-3.49,0,0,0,0,2025-05-11
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,72,0.39,0,0,0,0,2025-05-11
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,67,0.50,0,0,0,0,2025-05-11
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,111,-0.70,0,0,0,0,2025-05-11
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,134,-0.25,0,0,0,0,2025-05-11
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,81,3.76,0,0,0,0,2025-05-11
10,Connor Hellebuyck,31,WPG,9,9,5,4,29,198,169,.854,3.32,1,,524,2,.222,5,137,-7.85,0,0,0,0,2025-05-11
11,Adin Hill,28,VEG,9,9,5,4,29,227,198,.872,3.14,0,,554,4,.444,2,120,-4.75,0,0,0,0,2025-05-11
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,94,0.34,0,0,0,0,2025-05-11
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,104,-0.89,0,0,0,0,2025-05-11
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,187,-0.47,0,0,0,0,2025-05-11
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,83,3.23,0,0,0,0,2025-05-11
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,86,1.12,0,0,0,0,2025-05-11
17,Jake Oettinger,26,DAL,9,9,5,4,25,279,254,.910,2.78,0,,539,6,.667,1,84,4.81,0,0,0,0,2025-05-11
18,Calvin Pickard,32,EDM,7,6,6,0,19,170,151,.888,2.84,0,,401,2,.333,0,105,-0.84,0,0,0,0,2025-05-11
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.96,0,0,0,0,2025-05-11
20,Stuart Skinner,26,EDM,3,3,0,3,15,82,67,.817,5.36,0,,168,0,.000,3,171,-6.24,0,0,0,0,2025-05-11
21,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,93,1.13,0,0,0,2,2025-05-11
22,Logan Thompson,27,WSH,8,8,5,3,18,232,214,.922,2.26,0,,478,6,.750,0,73,6.79,0,0,0,0,2025-05-11
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,112,-1.98,0,0,0,0,2025-05-11
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,120,-2.65,0,0,0,0,2025-05-11
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.85,0,0,0,0,2025-05-11
26,Joseph Woll,26,TOR,3,2,2,1,11,84,73,.869,3.99,0,,165,0,.000,0,123,-2.03,0,0,0,0,2025-05-11
