rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,8,8,6,2,11,170,159,.935,1.41,1,,468,7,.875,0,63,6.56,0,0,0,0,2025-05-15
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,96,0.83,0,0,0,0,2025-05-15
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,105,-0.82,0,0,0,0,2025-05-15
4,Sergei Bobrovsky,36,FLA,10,10,7,3,25,247,222,.899,2.46,2,,609,5,.500,3,98,0.51,0,0,0,0,2025-05-15
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,74,0.34,0,0,0,0,2025-05-15
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,69,0.45,0,0,0,0,2025-05-15
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,115,-0.91,0,0,0,0,2025-05-15
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,138,-0.28,0,0,0,0,2025-05-15
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,84,3.11,0,0,0,0,2025-05-15
10,Connor Hellebuyck,31,WPG,11,11,5,6,37,248,211,.851,3.48,1,,638,2,.182,6,144,-11.38,0,0,0,0,2025-05-15
11,Adin Hill,28,VEG,11,11,5,6,33,291,258,.887,2.93,0,,677,6,.545,2,110,-2.94,0,0,0,0,2025-05-15
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,97,0.16,0,0,0,0,2025-05-15
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,108,-1.62,0,0,0,0,2025-05-15
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,194,-0.48,0,0,0,0,2025-05-15
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,86,2.59,0,0,0,0,2025-05-15
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,89,0.85,0,0,0,0,2025-05-15
17,Matt Murray,30,TOR,1,0,0,0,1,7,6,.857,4.41,0,,14,0,,0,138,-0.28,0,0,0,0,2025-05-15
18,Jake Oettinger,26,DAL,11,11,7,4,28,337,309,.917,2.55,0,,659,8,.727,1,80,6.81,0,0,0,0,2025-05-15
19,Calvin Pickard,32,EDM,7,6,6,0,19,170,151,.888,2.84,0,,401,2,.333,0,108,-1.44,0,0,0,0,2025-05-15
20,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.93,0,0,0,0,2025-05-15
21,Stuart Skinner,26,EDM,5,5,2,3,15,129,114,.884,3.05,2,,295,2,.400,3,113,-1.68,0,0,0,0,2025-05-15
22,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,96,0.60,0,0,0,2,2025-05-15
23,Logan Thompson,27,WSH,9,9,5,4,22,269,247,.918,2.45,0,,538,6,.667,0,79,5.78,0,0,0,0,2025-05-15
24,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,116,-2.51,0,0,0,0,2025-05-15
25,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,124,-3.09,0,0,0,0,2025-05-15
26,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.83,0,0,0,0,2025-05-15
27,Joseph Woll,26,TOR,5,4,2,3,18,146,128,.877,4.02,0,,269,1,.250,1,119,-2.92,0,0,0,0,2025-05-15
