rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,4,1,4,5,2,2,0,1,0,0,2,2,0,7,14.3,82,20:36,3,12,37,27,57.8,2025-04-29
2,Alexander Alexeyev,25,WSH,D,4,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,48,11:55,5,4,0,0,,2025-04-29
3,Michael Amadio,28,OTT,C,4,0,1,1,-2,2,0,0,0,0,1,0,0,3,0.0,66,16:29,0,14,1,0,100.0,2025-04-29
4,Josh Anderson,30,MTL,RW,4,0,1,1,-2,20,0,0,0,0,1,0,0,7,0.0,53,13:17,1,22,1,1,50.0,2025-04-29
5,Michael Anderson,25,LAK,D,4,0,1,1,-2,2,0,0,0,0,1,0,0,2,0.0,111,27:46,5,12,0,0,,2025-04-29
6,Jaret Anderson-Dolan,25,WPG,C,4,1,1,2,0,2,1,0,0,0,1,0,0,3,33.3,32,8:00,2,13,1,0,100.0,2025-04-29
7,Mason Appleton,29,WPG,C,4,0,2,2,1,10,0,0,0,0,1,1,0,5,0.0,61,15:19,2,10,1,1,50.0,2025-04-29
8,Joel Armia,31,MTL,RW,4,0,1,1,1,2,0,0,0,0,1,0,0,4,0.0,52,13:02,0,6,0,0,,2025-04-29
9,Viktor Arvidsson,31,EDM,LW,4,1,0,1,0,2,1,0,0,0,0,0,0,10,10.0,53,13:11,0,3,3,2,60.0,2025-04-29
10,Oskar Back,24,DAL,C,4,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,46,11:23,0,2,1,0,100.0,2025-04-29
11,Uvis Balinskis,28,FLA,D,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,26,12:57,3,4,0,0,,2025-04-29
12,Ivan Barbashev,29,VEG,C,4,1,1,2,-2,2,1,0,0,1,0,1,0,7,14.3,67,16:51,1,20,3,1,75.0,2025-04-29
13,Aleksander Barkov,29,FLA,C,4,0,4,4,0,0,0,0,0,0,2,2,0,8,0.0,74,18:25,4,7,41,24,63.1,2025-04-29
14,Morgan Barron,26,WPG,C,4,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,47,11:46,1,9,10,11,47.6,2025-04-29
15,Nathan Bastian,27,NJD,RW,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,45,11:19,2,12,0,0,,2025-04-29
16,Drake Batherson,26,OTT,C,4,1,1,2,-2,10,1,0,0,0,0,1,0,9,11.1,71,17:52,2,17,2,2,50.0,2025-04-29
17,Anthony Beauvillier,27,WSH,LW,4,1,4,5,4,0,1,0,0,0,4,0,0,11,9.1,54,13:37,3,12,0,0,,2025-04-29
18,Jamie Benn,35,DAL,LW,5,1,1,2,0,0,0,1,0,0,0,1,0,11,9.1,78,15:32,7,21,19,30,38.8,2025-04-29
19,Sam Bennett,28,FLA,C,4,2,2,4,0,0,2,0,0,0,2,0,0,11,18.2,62,15:30,4,16,15,23,39.5,2025-04-29
20,Simon Benoit,26,TOR,D,4,1,1,2,0,6,1,0,0,1,1,0,0,3,33.3,76,19:04,9,13,0,0,,2025-04-29
21,Lian Bichsel,20,DAL,D,5,0,0,0,-1,14,0,0,0,0,0,0,0,3,0.0,64,12:50,3,20,0,0,,2025-04-29
22,Colin Blackwell,31,DAL,C,4,1,0,1,-1,2,1,0,0,1,0,0,0,9,11.1,50,12:25,1,14,5,10,33.3,2025-04-29
23,Jackson Blake,21,CAR,RW,4,0,3,3,1,4,0,0,0,0,3,0,0,9,0.0,75,18:38,0,4,2,1,66.7,2025-04-29
24,Zach Bogosian,34,MIN,D,4,0,1,1,1,0,0,0,0,0,0,0,1,1,0.0,50,12:23,2,5,0,0,,2025-04-29
25,Zachary Bolduc,21,STL,C,4,0,1,1,0,16,0,0,0,0,1,0,0,5,0.0,51,12:48,1,8,0,1,0.0,2025-04-29
26,Matt Boldy,23,MIN,LW,4,4,2,6,3,2,4,0,0,1,1,1,0,12,33.3,100,24:53,3,8,1,3,25.0,2025-04-29
27,Jesper Boqvist,26,FLA,C,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,,33,8:10,3,8,0,2,0.0,2025-04-29
28,Evan Bouchard,25,EDM,D,4,4,3,7,-2,0,2,2,0,1,3,0,0,19,21.1,107,26:40,4,2,0,0,,2025-04-29
29,Mavrik Bourque,23,DAL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,24,11:54,3,3,3,7,30.0,2025-04-29
