rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,13,13,8,5,25,269,244,.907,2.02,2,,743,9,.692,3,90,2.73,0,0,0,0,2025-06-13
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,96,0.79,0,0,0,0,2025-06-13
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,105,-0.86,0,0,0,0,2025-06-13
4,Sergei Bobrovsky,36,FLA,21,21,14,7,50,568,518,.912,2.27,3,,1323,13,.619,3,85,8.56,0,0,0,0,2025-06-13
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,75,0.34,0,0,0,0,2025-06-13
6,Casey DeSmith,33,DAL,2,0,0,1,4,34,30,.882,3.42,0,,70,0,,0,114,-0.49,0,0,0,0,2025-06-13
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,115,-0.92,0,0,0,0,2025-06-13
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,139,-0.28,0,0,0,0,2025-06-13
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,84,3.07,0,0,0,0,2025-06-13
10,Connor Hellebuyck,31,WPG,13,13,6,7,39,290,251,.866,3.08,2,,759,4,.308,6,130,-9.10,0,0,0,0,2025-06-13
11,Adin Hill,28,VEG,11,11,5,6,33,292,259,.887,2.93,0,,677,6,.545,2,110,-2.90,0,0,0,0,2025-06-13
12,Pyotr Kochetkov,25,CAR,4,2,1,1,12,83,71,.855,3.60,0,,200,0,.000,1,140,-3.44,0,0,0,2,2025-06-13
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,108,-1.66,0,0,0,0,2025-06-13
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,194,-0.48,0,0,0,0,2025-06-13
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,86,2.56,0,0,0,0,2025-06-13
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,89,0.84,0,0,0,0,2025-06-13
17,Matt Murray,30,TOR,1,0,0,0,1,7,6,.857,4.41,0,,14,0,,0,139,-0.28,0,0,0,0,2025-06-13
18,Jake Oettinger,26,DAL,18,18,9,8,48,503,455,.905,2.82,0,,1021,11,.611,3,93,3.86,0,0,0,2,2025-06-13
19,Calvin Pickard,32,EDM,9,6,7,0,21,201,180,.896,2.69,0,,469,2,.333,0,101,-0.28,0,0,0,0,2025-06-13
20,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.93,0,0,0,0,2025-06-13
21,Stuart Skinner,26,EDM,14,14,7,6,41,375,334,.891,2.99,3,,823,6,.429,7,106,-2.34,0,0,0,2,2025-06-13
22,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,96,0.57,0,0,0,2,2025-06-13
23,Logan Thompson,27,WSH,10,10,5,5,24,290,266,.917,2.41,0,,597,7,.700,0,80,5.90,0,0,0,0,2025-06-13
24,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,116,-2.54,0,0,0,0,2025-06-13
25,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,124,-3.11,0,0,0,0,2025-06-13
26,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.82,0,0,0,0,2025-06-13
27,Joseph Woll,26,TOR,7,6,3,4,23,201,178,.886,3.56,1,,387,2,.333,2,111,-2.28,0,0,0,0,2025-06-13
