rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,11,11,7,4,21,225,204,.907,2.01,1,,626,8,.727,2,91,2.01,0,0,0,0,2025-05-24
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,97,0.64,0,0,0,0,2025-05-24
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,106,-1.00,0,0,0,0,2025-05-24
4,Sergei Bobrovsky,36,FLA,14,14,10,4,30,334,304,.910,2.13,3,,846,8,.571,3,88,4.16,0,0,0,0,2025-05-24
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,75,0.33,0,0,0,0,2025-05-24
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,70,0.43,0,0,0,0,2025-05-24
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,116,-0.97,0,0,0,0,2025-05-24
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,140,-0.28,0,0,0,0,2025-05-24
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,85,2.92,0,0,0,0,2025-05-24
10,Connor Hellebuyck,31,WPG,13,13,6,7,39,290,251,.866,3.08,2,,759,4,.308,6,131,-9.34,0,0,0,0,2025-05-24
11,Adin Hill,28,VEG,11,11,5,6,33,292,259,.887,2.93,0,,677,6,.545,2,111,-3.14,0,0,0,0,2025-05-24
12,Pyotr Kochetkov,25,CAR,3,1,1,0,6,55,49,.891,2.57,0,,140,0,.000,0,107,-0.38,0,0,0,0,2025-05-24
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,109,-1.83,0,0,0,0,2025-05-24
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,196,-0.49,0,0,0,0,2025-05-24
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,87,2.41,0,0,0,0,2025-05-24
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,90,0.77,0,0,0,0,2025-05-24
17,Matt Murray,30,TOR,1,0,0,0,1,7,6,.857,4.41,0,,14,0,,0,140,-0.28,0,0,0,0,2025-05-24
18,Jake Oettinger,26,DAL,15,15,9,6,38,446,408,.915,2.54,0,,896,10,.667,1,83,7.61,0,0,0,2,2025-05-24
19,Calvin Pickard,32,EDM,7,6,6,0,19,170,151,.888,2.84,0,,401,2,.333,0,109,-1.61,0,0,0,0,2025-05-24
20,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.92,0,0,0,0,2025-05-24
21,Stuart Skinner,26,EDM,7,7,3,4,20,181,161,.890,2.90,3,,414,3,.429,4,108,-1.49,0,0,0,0,2025-05-24
22,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,97,0.44,0,0,0,2,2025-05-24
23,Logan Thompson,27,WSH,10,10,5,5,24,290,266,.917,2.41,0,,597,7,.700,0,81,5.66,0,0,0,0,2025-05-24
24,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,117,-2.66,0,0,0,0,2025-05-24
25,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,125,-3.22,0,0,0,0,2025-05-24
26,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.82,0,0,0,0,2025-05-24
27,Joseph Woll,26,TOR,7,6,3,4,23,201,178,.886,3.56,1,,387,2,.333,2,112,-2.44,0,0,0,0,2025-05-24
