rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,4,4,3,1,6,94,88,.936,1.59,0,,226,3,.750,0,61,3.89,0,0,0,0,2025-05-02
2,Jordan Binnington,31,STL,5,5,2,3,13,122,109,.893,2.65,0,,295,3,.600,2,101,-0.17,0,0,0,0,2025-05-02
3,Mackenzie Blackwood,28,COL,6,6,3,3,16,158,142,.899,2.65,1,,363,3,.500,2,96,0.62,0,0,0,0,2025-05-02
4,Sergei Bobrovsky,36,FLA,5,5,4,1,11,111,100,.901,2.21,1,,299,3,.600,1,94,0.67,0,0,0,0,2025-05-02
5,Eric Comrie,29,WPG,2,0,0,0,1,9,8,.889,2.19,0,,27,0,,0,106,-0.05,0,0,0,0,2025-05-02
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,68,0.47,0,0,0,0,2025-05-02
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,113,-0.79,0,0,0,0,2025-05-02
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,136,-0.26,0,0,0,0,2025-05-02
9,Filip Gustavsson,26,MIN,6,6,2,3,16,184,168,.913,2.71,0,,354,4,.667,0,83,3.35,0,0,0,0,2025-05-02
10,Connor Hellebuyck,31,WPG,5,5,3,2,18,101,83,.822,3.96,0,,272,1,.200,4,169,-7.38,0,0,0,0,2025-05-02
11,Adin Hill,28,VEG,6,6,4,2,17,142,125,.880,2.83,0,,360,4,.667,2,114,-2.06,0,0,0,0,2025-05-02
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,95,0.26,0,0,0,0,2025-05-02
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,106,-1.23,0,0,0,0,2025-05-02
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,190,-0.47,0,0,0,0,2025-05-02
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,85,2.93,0,0,0,0,2025-05-02
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,88,0.99,0,0,0,0,2025-05-02
17,Jake Oettinger,26,DAL,6,6,3,3,18,197,179,.909,2.99,0,,361,4,.667,1,87,2.72,0,0,0,0,2025-05-02
18,Calvin Pickard,32,EDM,5,4,4,0,13,121,108,.893,2.93,0,,266,2,.500,0,102,-0.27,0,0,0,0,2025-05-02
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.95,0,0,0,0,2025-05-02
20,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,180,-4.90,0,0,0,0,2025-05-02
21,Anthony Stolarz,31,TOR,6,6,4,2,14,142,128,.901,2.21,0,,380,4,.667,1,94,0.94,0,0,0,2,2025-05-02
22,Logan Thompson,27,WSH,5,5,4,1,11,143,132,.923,2.23,0,,296,4,.800,0,73,4.04,0,0,0,0,2025-05-02
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,114,-2.22,0,0,0,0,2025-05-02
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,122,-2.85,0,0,0,0,2025-05-02
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.84,0,0,0,0,2025-05-02
