rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,4,4,3,1,6,94,88,.936,1.59,0,,226,3,.750,0,62,3.71,0,0,0,0,2025-05-01
2,Jordan Binnington,31,STL,5,5,2,3,13,122,109,.893,2.65,0,,295,3,.600,2,103,-0.40,0,0,0,0,2025-05-01
3,Mackenzie Blackwood,28,COL,5,5,2,3,12,132,120,.909,2.38,1,,303,3,.600,1,88,1.63,0,0,0,0,2025-05-01
4,Sergei Bobrovsky,36,FLA,5,5,4,1,11,111,100,.901,2.21,1,,299,3,.600,1,96,0.47,0,0,0,0,2025-05-01
5,Eric Comrie,29,WPG,2,0,0,0,1,9,8,.889,2.19,0,,27,0,,0,108,-0.07,0,0,0,0,2025-05-01
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,69,0.45,0,0,0,0,2025-05-01
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,115,-0.91,0,0,0,0,2025-05-01
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,138,-0.28,0,0,0,0,2025-05-01
9,Filip Gustavsson,26,MIN,5,5,2,2,13,161,148,.919,2.63,0,,296,4,.800,0,78,3.63,0,0,0,0,2025-05-01
10,Connor Hellebuyck,31,WPG,5,5,3,2,18,101,83,.822,3.96,0,,272,1,.200,4,173,-7.57,0,0,0,0,2025-05-01
11,Adin Hill,28,VEG,5,5,3,2,15,111,96,.865,3.00,0,,300,3,.600,2,131,-3.53,0,0,0,0,2025-05-01
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,97,0.16,0,0,0,0,2025-05-01
13,Darcy Kuemper,34,LAK,5,5,2,3,18,179,161,.899,3.44,0,,314,3,.600,1,97,0.49,0,0,0,0,2025-05-01
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,194,-0.48,0,0,0,0,2025-05-01
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,86,2.59,0,0,0,0,2025-05-01
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,89,0.85,0,0,0,0,2025-05-01
17,Jake Oettinger,26,DAL,5,5,3,2,13,151,138,.914,2.58,0,,303,4,.800,1,83,2.60,0,0,0,0,2025-05-01
18,Calvin Pickard,32,EDM,4,3,3,0,9,94,85,.904,2.62,0,,206,2,.667,0,93,0.71,0,0,0,0,2025-05-01
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.93,0,0,0,0,2025-05-01
20,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,184,-5.01,0,0,0,0,2025-05-01
21,Anthony Stolarz,31,TOR,5,5,3,2,12,119,107,.899,2.25,0,,320,3,.600,1,98,0.29,0,0,0,2,2025-05-01
22,Logan Thompson,27,WSH,5,5,4,1,11,143,132,.923,2.23,0,,296,4,.800,0,74,3.77,0,0,0,0,2025-05-01
23,Linus Ullmark,31,OTT,5,5,2,3,15,128,113,.883,2.80,1,,322,2,.400,1,113,-1.78,0,0,0,0,2025-05-01
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,124,-3.09,0,0,0,0,2025-05-01
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.83,0,0,0,0,2025-05-01
