rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,12,12,8,4,21,245,224,.914,1.84,2,,686,9,.750,2,84,3.87,0,0,0,0,2025-05-28
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,97,0.49,0,0,0,0,2025-05-28
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,106,-1.13,0,0,0,0,2025-05-28
4,Sergei Bobrovsky,36,FLA,16,16,11,5,33,385,352,.914,2.05,3,,965,10,.625,3,84,6.09,0,0,0,0,2025-05-28
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,76,0.32,0,0,0,0,2025-05-28
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,70,0.42,0,0,0,0,2025-05-28
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,117,-1.01,0,0,0,0,2025-05-28
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,141,-0.29,0,0,0,0,2025-05-28
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,85,2.78,0,0,0,0,2025-05-28
10,Connor Hellebuyck,31,WPG,13,13,6,7,39,290,251,.866,3.08,2,,759,4,.308,6,132,-9.56,0,0,0,0,2025-05-28
11,Adin Hill,28,VEG,11,11,5,6,33,292,259,.887,2.93,0,,677,6,.545,2,111,-3.35,0,0,0,0,2025-05-28
12,Pyotr Kochetkov,25,CAR,4,2,1,1,12,83,71,.855,3.60,0,,200,0,.000,1,142,-3.57,0,0,0,2,2025-05-28
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,109,-1.98,0,0,0,0,2025-05-28
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,197,-0.49,0,0,0,0,2025-05-28
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,88,2.27,0,0,0,0,2025-05-28
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,91,0.72,0,0,0,0,2025-05-28
17,Matt Murray,30,TOR,1,0,0,0,1,7,6,.857,4.41,0,,14,0,,0,141,-0.29,0,0,0,0,2025-05-28
18,Jake Oettinger,26,DAL,17,17,9,8,46,501,455,.908,2.72,0,,1014,11,.647,2,90,4.86,0,0,0,2,2025-05-28
19,Calvin Pickard,32,EDM,7,6,6,0,19,170,151,.888,2.84,0,,401,2,.333,0,110,-1.74,0,0,0,0,2025-05-28
20,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.91,0,0,0,0,2025-05-28
21,Stuart Skinner,26,EDM,9,9,5,4,22,244,222,.910,2.47,3,,534,5,.556,4,89,2.77,0,0,0,0,2025-05-28
22,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,98,0.33,0,0,0,2,2025-05-28
23,Logan Thompson,27,WSH,10,10,5,5,24,290,266,.917,2.41,0,,597,7,.700,0,82,5.44,0,0,0,0,2025-05-28
24,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,118,-2.77,0,0,0,0,2025-05-28
25,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,126,-3.31,0,0,0,0,2025-05-28
26,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.81,0,0,0,0,2025-05-28
27,Joseph Woll,26,TOR,7,6,3,4,23,201,178,.886,3.56,1,,387,2,.333,2,113,-2.59,0,0,0,0,2025-05-28
