rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,3,3,2,1,5,87,82,.943,1.48,0,,202,3,1.000,0,53,4.48,0,0,0,0,2025-04-26
2,Jordan Binnington,31,STL,3,3,1,2,8,66,58,.879,2.72,0,,176,2,.667,1,111,-0.81,0,0,0,0,2025-04-26
3,Mackenzie Blackwood,28,COL,3,3,1,2,7,91,84,.923,2.07,0,,203,2,.667,0,71,2.92,0,0,0,0,2025-04-26
4,Sergei Bobrovsky,36,FLA,2,2,2,0,2,41,39,.951,1.00,1,,120,2,1.000,0,45,2.47,0,0,0,0,2025-04-26
5,Eric Comrie,29,WPG,1,0,0,0,1,3,2,.667,6.34,0,,9,0,,0,306,-0.67,0,0,0,0,2025-04-26
6,Jakub Dobes,23,MTL,1,0,1,0,1,8,7,.875,2.12,0,,28,0,,0,115,-0.13,0,0,0,0,2025-04-26
7,Filip Gustavsson,26,MIN,3,3,2,1,7,90,83,.922,2.35,0,,179,2,.667,0,71,2.81,0,0,0,0,2025-04-26
8,Connor Hellebuyck,31,WPG,3,3,2,1,10,64,54,.844,3.52,0,,170,1,.333,2,143,-3.03,0,0,0,0,2025-04-26
9,Adin Hill,28,VEG,3,3,1,2,10,57,47,.825,3.78,0,,159,1,.333,2,161,-3.79,0,0,0,0,2025-04-26
10,Darcy Kuemper,34,LAK,3,3,2,1,12,85,73,.859,4.04,0,,178,1,.333,1,130,-2.74,0,0,0,0,2025-04-26
11,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,184,-0.46,0,0,0,0,2025-04-26
12,Jacob Markström,35,NJD,3,3,1,2,7,98,91,.929,2.08,0,,202,3,1.000,0,66,3.68,0,0,0,0,2025-04-26
13,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,85,1.28,0,0,0,0,2025-04-26
14,Jake Oettinger,26,DAL,3,3,2,1,8,89,81,.910,2.37,0,,203,2,.667,1,82,1.70,0,0,0,0,2025-04-26
15,Calvin Pickard,32,EDM,2,1,1,0,5,31,26,.839,4.32,0,,70,0,.000,0,148,-1.62,0,0,0,0,2025-04-26
16,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.98,0,0,0,0,2025-04-26
17,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,174,-4.68,0,0,0,0,2025-04-26
18,Anthony Stolarz,31,TOR,3,3,3,0,6,81,75,.926,1.95,0,,184,3,1.000,0,68,2.83,0,0,0,2,2025-04-26
19,Logan Thompson,27,WSH,3,3,2,1,8,96,88,.917,2.73,0,,176,2,.667,0,76,2.46,0,0,0,0,2025-04-26
20,Linus Ullmark,31,OTT,3,3,0,3,12,65,53,.815,3.91,0,,184,0,.000,1,169,-4.92,0,0,0,0,2025-04-26
21,Andrei Vasilevskiy,30,TBL,2,2,0,2,7,39,32,.821,3.56,0,,118,1,.500,1,165,-2.75,0,0,0,0,2025-04-26
