rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,6,3,5,8,1,4,0,3,0,1,3,2,0,18,16.7,133,22:12,3,22,62,46,57.4,2025-05-08
2,Alexander Alexeyev,25,WSH,D,6,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,65,10:45,6,7,0,0,,2025-05-08
3,Michael Amadio,28,OTT,C,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,99,16:32,0,22,2,0,100.0,2025-05-08
4,Josh Anderson,30,MTL,RW,5,0,1,1,-2,20,0,0,0,0,1,0,0,11,0.0,69,13:53,1,26,1,3,25.0,2025-05-08
5,Michael Anderson,25,LAK,D,6,0,1,1,-4,2,0,0,0,0,1,0,0,4,0.0,153,25:25,7,22,0,0,,2025-05-08
6,Jaret Anderson-Dolan,25,WPG,C,5,1,1,2,-1,2,1,0,0,0,1,0,0,3,33.3,42,8:20,2,19,2,0,100.0,2025-05-08
7,Mason Appleton,29,WPG,C,8,0,7,7,4,12,0,0,0,0,5,2,0,9,0.0,122,15:17,4,16,1,2,33.3,2025-05-08
8,Joel Armia,31,MTL,RW,5,0,2,2,2,2,0,0,0,0,2,0,0,4,0.0,62,12:24,0,8,0,0,,2025-05-08
9,Viktor Arvidsson,31,EDM,LW,7,1,1,2,1,4,1,0,0,0,1,0,0,17,5.9,78,11:12,0,4,3,3,50.0,2025-05-08
10,Oskar Back,24,DAL,C,7,0,2,2,-1,0,0,0,0,0,2,0,0,1,0.0,82,11:41,5,4,2,1,66.7,2025-05-08
11,Uvis Balinskis,28,FLA,D,4,1,0,1,4,2,1,0,0,0,0,0,0,2,50.0,48,12:05,6,6,0,0,,2025-05-08
12,Ivan Barbashev,29,VEG,C,7,1,1,2,-6,2,1,0,0,1,0,1,0,7,14.3,113,16:09,1,25,4,3,57.1,2025-05-08
13,Aleksander Barkov,29,FLA,C,7,2,4,6,0,2,1,1,0,0,2,2,0,15,13.3,137,19:30,8,18,67,51,56.8,2025-05-08
14,Morgan Barron,26,WPG,C,8,0,2,2,-4,0,0,0,0,0,2,0,0,9,0.0,111,13:53,1,23,36,39,48.0,2025-05-08
15,Nathan Bastian,27,NJD,RW,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,58,11:36,3,15,0,0,,2025-05-08
16,Drake Batherson,26,OTT,C,6,1,1,2,-4,10,1,0,0,0,0,1,0,9,11.1,105,17:29,3,27,2,2,50.0,2025-05-08
17,Anthony Beauvillier,27,WSH,LW,6,1,4,5,3,0,1,0,0,0,4,0,0,15,6.7,83,13:53,4,20,0,0,,2025-05-08
18,Jamie Benn,35,DAL,LW,8,1,1,2,-5,6,0,1,0,0,0,1,0,15,6.7,117,14:38,8,31,25,36,41.0,2025-05-08
19,Sam Bennett,28,FLA,C,7,4,2,6,-1,6,4,0,0,1,2,0,0,25,16.0,115,16:22,6,30,20,39,33.9,2025-05-08
20,Simon Benoit,26,TOR,D,8,1,1,2,-3,8,1,0,0,1,1,0,0,7,14.3,144,18:00,22,23,0,0,,2025-05-08
21,Lian Bichsel,20,DAL,D,8,0,0,0,0,14,0,0,0,0,0,0,0,6,0.0,93,11:36,3,26,0,0,,2025-05-08
22,Colin Blackwell,31,DAL,C,6,1,0,1,-2,2,1,0,0,1,0,0,0,9,11.1,67,11:13,1,18,10,12,45.5,2025-05-08
23,Jackson Blake,21,CAR,RW,6,1,3,4,2,8,1,0,0,0,3,0,0,12,8.3,122,20:18,0,7,3,2,60.0,2025-05-08
24,Zach Bogosian,34,MIN,D,6,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,78,13:00,4,6,0,0,,2025-05-08
25,Zachary Bolduc,21,STL,C,7,0,1,1,-1,16,0,0,0,0,1,0,0,7,0.0,93,13:17,2,19,0,1,0.0,2025-05-08
26,Matt Boldy,23,MIN,LW,6,5,2,7,0,2,5,0,0,1,1,1,0,20,25.0,150,25:01,5,12,1,4,20.0,2025-05-08
27,Jesper Boqvist,26,FLA,C,7,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,51,7:15,4,14,0,3,0.0,2025-05-08
28,Evan Bouchard,25,EDM,D,7,4,5,9,0,0,2,2,0,1,5,0,0,23,17.4,181,25:49,8,4,0,0,,2025-05-08
29,Mavrik Bourque,23,DAL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,24,11:54,3,3,3,7,30.0,2025-05-08
30,Jesper Bratt,26,NJD,W,5,1,2,3,-5,0,1,0,0,0,2,0,0,20,5.0,117,23:23,5,6,0,0,,2025-05-08
31,Justin Brazeau,26,MIN,F,6,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,48,7:57,2,22,0,0,,2025-05-08
32,Philip Broberg,23,STL,D,7,1,1,2,9,2,1,0,0,0,1,0,0,8,12.5,155,22:07,10,4,0,0,,2025-05-08
33,Jonas Brodin,31,MIN,D,6,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,149,24:48,11,6,0,0,,2025-05-08
34,Connor Brown,31,EDM,RW,7,4,2,6,3,2,4,0,0,0,2,0,0,13,30.8,103,14:45,3,5,3,4,42.9,2025-05-08
35,Josh Brown,31,EDM,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:54,3,0,0,0,,2025-05-08
36,Pavel Buchnevich,29,STL,LW,7,3,5,8,1,14,2,1,0,0,3,2,0,14,21.4,144,20:35,4,14,1,1,50.0,2025-05-08
37,Zeev Buium,19,MIN,D,4,0,1,1,-1,4,0,0,0,0,0,1,0,2,0.0,54,13:36,1,3,0,0,,2025-05-08
38,Brent Burns,39,CAR,D,6,1,1,2,0,2,1,0,0,0,1,0,0,9,11.1,140,23:22,7,4,0,0,,2025-05-08
39,Quinton Byfield,22,LAK,C,6,3,1,4,-7,2,3,0,0,0,1,0,0,18,16.7,135,22:27,2,14,36,47,43.4,2025-05-08
40,Brandon Carlo,28,TOR,D,8,0,0,0,2,4,0,0,0,0,0,0,0,9,0.0,151,18:55,16,1,0,0,,2025-05-08
41,John Carlson,35,WSH,D,6,0,2,2,7,2,0,0,0,0,1,1,0,8,0.0,146,24:20,8,3,0,0,,2025-05-08
