rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,4,4,3,1,6,94,88,.936,1.59,0,,226,3,.750,0,60,3.96,0,0,0,0,2025-04-29
2,Jordan Binnington,31,STL,4,4,2,2,9,97,88,.907,2.29,0,,236,3,.750,1,88,1.28,0,0,0,0,2025-04-29
3,Mackenzie Blackwood,28,COL,5,5,2,3,12,132,120,.909,2.38,1,,303,3,.600,1,86,1.99,0,0,0,0,2025-04-29
4,Sergei Bobrovsky,36,FLA,4,4,3,1,8,82,74,.902,2.01,1,,239,3,.750,1,92,0.69,0,0,0,0,2025-04-29
5,Eric Comrie,29,WPG,2,0,0,0,1,9,8,.889,2.19,0,,27,0,,0,105,-0.05,0,0,0,0,2025-04-29
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,67,0.48,0,0,0,0,2025-04-29
7,Jakub Dobes,23,MTL,2,1,1,1,4,32,28,.875,2.77,0,,87,0,.000,0,118,-0.61,0,0,0,0,2025-04-29
8,Filip Gustavsson,26,MIN,4,4,2,2,11,136,125,.919,2.58,0,,256,3,.750,0,76,3.41,0,0,0,0,2025-04-29
9,Connor Hellebuyck,31,WPG,4,4,2,2,15,82,67,.817,4.24,0,,212,1,.250,3,173,-6.31,0,0,0,0,2025-04-29
10,Adin Hill,28,VEG,4,4,2,2,13,89,76,.854,3.30,0,,236,2,.500,2,138,-3.57,0,0,0,0,2025-04-29
11,Pyotr Kochetkov,25,CAR,1,0,0,0,1,15,14,.933,1.68,0,,36,0,,0,63,0.59,0,0,0,0,2025-04-29
12,Darcy Kuemper,34,LAK,4,4,2,2,16,134,118,.881,3.74,0,,257,2,.500,1,113,-1.80,0,0,0,0,2025-04-29
13,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,189,-0.47,0,0,0,0,2025-04-29
14,Jacob Markström,35,NJD,4,4,1,3,11,126,115,.913,2.53,0,,261,3,.750,0,82,2.35,0,0,0,0,2025-04-29
15,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,87,1.05,0,0,0,0,2025-04-29
16,Jake Oettinger,26,DAL,5,5,3,2,13,151,138,.914,2.58,0,,303,4,.800,1,81,3.00,0,0,0,0,2025-04-29
17,Calvin Pickard,32,EDM,3,2,2,0,8,72,64,.889,3.29,0,,146,1,.500,0,105,-0.37,0,0,0,0,2025-04-29
18,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.95,0,0,0,0,2025-04-29
19,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,179,-4.85,0,0,0,0,2025-04-29
20,Anthony Stolarz,31,TOR,4,4,3,1,10,102,92,.902,2.29,0,,262,3,.750,1,93,0.81,0,0,0,2,2025-04-29
21,Logan Thompson,27,WSH,4,4,3,1,10,114,104,.912,2.54,0,,236,3,.750,0,83,2.08,0,0,0,0,2025-04-29
22,Linus Ullmark,31,OTT,4,4,1,3,15,99,84,.848,3.44,0,,262,1,.250,1,143,-4.51,0,0,0,0,2025-04-29
23,Andrei Vasilevskiy,30,TBL,4,4,1,3,11,95,84,.884,2.79,0,,236,2,.500,1,109,-0.93,0,0,0,0,2025-04-29
24,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.85,0,0,0,0,2025-04-29
