rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,5,3,5,8,1,2,0,3,0,1,3,2,0,14,21.4,112,22:19,3,17,50,36,58.1,2025-05-03
2,Alexander Alexeyev,25,WSH,D,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,55,11:02,5,4,0,0,,2025-05-03
3,Michael Amadio,28,OTT,C,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,99,16:32,0,22,2,0,100.0,2025-05-03
4,Josh Anderson,30,MTL,RW,5,0,1,1,-2,20,0,0,0,0,1,0,0,11,0.0,69,13:53,1,26,1,3,25.0,2025-05-03
5,Michael Anderson,25,LAK,D,6,0,1,1,-4,2,0,0,0,0,1,0,0,4,0.0,153,25:25,7,22,0,0,,2025-05-03
6,Jaret Anderson-Dolan,25,WPG,C,5,1,1,2,-1,2,1,0,0,0,1,0,0,3,33.3,42,8:20,2,19,2,0,100.0,2025-05-03
7,Mason Appleton,29,WPG,C,6,0,6,6,4,12,0,0,0,0,4,2,0,7,0.0,93,15:26,3,13,1,2,33.3,2025-05-03
8,Joel Armia,31,MTL,RW,5,0,2,2,2,2,0,0,0,0,2,0,0,4,0.0,62,12:24,0,8,0,0,,2025-05-03
9,Viktor Arvidsson,31,EDM,LW,6,1,1,2,1,4,1,0,0,0,1,0,0,12,8.3,69,11:28,0,3,3,3,50.0,2025-05-03
10,Oskar Back,24,DAL,C,5,0,1,1,-2,0,0,0,0,0,1,0,0,1,0.0,59,11:53,1,3,2,0,100.0,2025-05-03
11,Uvis Balinskis,28,FLA,D,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,37,12:21,4,4,0,0,,2025-05-03
12,Ivan Barbashev,29,VEG,C,6,1,1,2,-4,2,1,0,0,1,0,1,0,7,14.3,97,16:12,1,21,4,3,57.1,2025-05-03
13,Aleksander Barkov,29,FLA,C,5,1,4,5,2,0,1,0,0,0,2,2,0,10,10.0,93,18:33,5,9,51,35,59.3,2025-05-03
14,Morgan Barron,26,WPG,C,6,0,2,2,-3,0,0,0,0,0,2,0,0,7,0.0,76,12:36,1,16,24,20,54.5,2025-05-03
15,Nathan Bastian,27,NJD,RW,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,58,11:36,3,15,0,0,,2025-05-03
16,Drake Batherson,26,OTT,C,6,1,1,2,-4,10,1,0,0,0,0,1,0,9,11.1,105,17:29,3,27,2,2,50.0,2025-05-03
17,Anthony Beauvillier,27,WSH,LW,5,1,4,5,4,0,1,0,0,0,4,0,0,14,7.1,69,13:48,3,16,0,0,,2025-05-03
18,Jamie Benn,35,DAL,LW,6,1,1,2,-3,0,0,1,0,0,0,1,0,12,8.3,90,15:03,7,22,23,35,39.7,2025-05-03
19,Sam Bennett,28,FLA,C,5,3,2,5,1,4,3,0,0,1,2,0,0,17,17.6,79,15:48,6,21,16,23,41.0,2025-05-03
20,Simon Benoit,26,TOR,D,6,1,1,2,0,8,1,0,0,1,1,0,0,6,16.7,111,18:30,14,19,0,0,,2025-05-03
21,Lian Bichsel,20,DAL,D,6,0,0,0,-1,14,0,0,0,0,0,0,0,4,0.0,72,11:57,3,20,0,0,,2025-05-03
22,Colin Blackwell,31,DAL,C,5,1,0,1,-2,2,1,0,0,1,0,0,0,9,11.1,60,11:56,1,16,8,12,40.0,2025-05-03
23,Jackson Blake,21,CAR,RW,5,1,3,4,2,6,1,0,0,0,3,0,0,12,8.3,100,20:05,0,5,3,1,75.0,2025-05-03
24,Zach Bogosian,34,MIN,D,6,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,78,13:00,4,6,0,0,,2025-05-03
25,Zachary Bolduc,21,STL,C,6,0,1,1,-2,16,0,0,0,0,1,0,0,6,0.0,78,12:58,2,18,0,1,0.0,2025-05-03
26,Matt Boldy,23,MIN,LW,6,5,2,7,0,2,5,0,0,1,1,1,0,20,25.0,150,25:01,5,12,1,4,20.0,2025-05-03
27,Jesper Boqvist,26,FLA,C,5,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,40,8:04,3,10,0,2,0.0,2025-05-03
28,Evan Bouchard,25,EDM,D,6,4,3,7,-3,0,2,2,0,1,3,0,0,22,18.2,154,25:43,6,3,0,0,,2025-05-03
29,Mavrik Bourque,23,DAL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,24,11:54,3,3,3,7,30.0,2025-05-03
30,Jesper Bratt,26,NJD,W,5,1,2,3,-5,0,1,0,0,0,2,0,0,20,5.0,117,23:23,5,6,0,0,,2025-05-03
31,Justin Brazeau,26,MIN,F,6,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,48,7:57,2,22,0,0,,2025-05-03
32,Philip Broberg,23,STL,D,6,1,1,2,9,2,1,0,0,0,1,0,0,6,16.7,119,19:51,6,1,0,0,,2025-05-03
33,Jonas Brodin,31,MIN,D,6,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,149,24:48,11,6,0,0,,2025-05-03
34,Connor Brown,31,EDM,RW,6,3,2,5,2,0,3,0,0,0,2,0,0,10,30.0,87,14:29,2,5,3,4,42.9,2025-05-03
35,Josh Brown,31,EDM,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:54,3,0,0,0,,2025-05-03
36,Pavel Buchnevich,29,STL,LW,6,3,4,7,2,14,2,1,0,0,2,2,0,10,30.0,111,18:34,4,14,1,1,50.0,2025-05-03
37,Zeev Buium,19,MIN,D,4,0,1,1,-1,4,0,0,0,0,0,1,0,2,0.0,54,13:36,1,3,0,0,,2025-05-03
38,Brent Burns,39,CAR,D,5,1,1,2,-1,2,1,0,0,0,1,0,0,8,12.5,118,23:31,6,4,0,0,,2025-05-03
39,Quinton Byfield,22,LAK,C,6,3,1,4,-7,2,3,0,0,0,1,0,0,18,16.7,135,22:27,2,14,36,47,43.4,2025-05-03
40,Brandon Carlo,28,TOR,D,6,0,0,0,0,4,0,0,0,0,0,0,0,6,0.0,118,19:44,12,1,0,0,,2025-05-03
41,John Carlson,35,WSH,D,5,0,1,1,6,2,0,0,0,0,0,1,0,6,0.0,121,24:07,7,0,0,0,,2025-05-03
42,Alexandre Carrier,28,MTL,D,5,1,1,2,0,0,1,0,0,0,1,0,0,8,12.5,104,20:44,15,7,0,0,,2025-05-03
43,William Carrier,30,CAR,LW,5,0,0,0,1,2,0,0,0,0,0,0,0,8,0.0,62,12:19,3,17,0,0,,2025-05-03
44,Seamus Casey,21,NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:13,2,1,0,0,,2025-05-03
45,Cole Caufield,24,MTL,RW,5,3,1,4,-6,0,1,2,0,0,1,0,0,24,12.5,98,19:35,0,5,1,1,50.0,2025-05-03
46,Cody Ceci,31,DAL,D,6,0,3,3,-1,0,0,0,0,0,3,0,0,5,0.0,138,22:59,12,11,0,0,,2025-05-03
47,Erik Černák,27,TBL,D,5,1,0,1,1,4,1,0,0,0,0,0,0,14,7.1,90,17:56,7,15,0,0,,2025-05-03
48,Thomas Chabot,28,OTT,D,6,1,3,4,1,2,1,0,0,1,2,1,0,11,9.1,150,24:58,8,8,0,0,,2025-05-03
49,Mitchell Chaffee,27,TBL,F,4,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,45,11:20,1,8,0,0,,2025-05-03
50,Jalen Chatfield,28,CAR,D,5,1,0,1,3,4,1,0,0,0,0,0,0,3,33.3,112,22:27,6,6,0,0,,2025-05-03
51,Dennis Cholowski,26,NJD,D,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,8:59,2,0,0,0,,2025-05-03
52,Jakob Chychrun,26,WSH,D,5,2,1,3,7,4,2,0,0,1,1,0,0,9,22.2,117,23:27,15,5,0,0,,2025-05-03
53,Anthony Cirelli,27,TBL,C,5,1,0,1,-4,18,1,0,0,0,0,0,0,5,20.0,81,16:15,8,14,33,35,48.5,2025-05-03
54,Brandt Clarke,21,LAK,D,6,2,0,2,1,0,1,1,0,0,0,0,0,6,33.3,77,12:47,6,4,0,0,,2025-05-03
55,Ross Colton,28,COL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,7:04,0,3,1,0,100.0,2025-05-03
56,Kyle Connor,28,WPG,LW,6,4,5,9,1,0,4,0,0,2,3,2,0,15,26.7,123,20:27,4,3,0,0,,2025-05-03
57,Paul Cotter,25,NJD,C,5,0,1,1,-1,2,0,0,0,0,1,0,0,5,0.0,72,14:25,3,22,0,1,0.0,2025-05-03
58,Nick Cousins,31,OTT,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,47,9:20,1,14,1,1,50.0,2025-05-03
59,Charlie Coyle,32,COL,C,6,1,0,1,-4,2,1,0,0,0,0,0,0,5,20.0,81,13:26,2,21,41,30,57.7,2025-05-03
60,Dylan Cozens,23,OTT,C,6,1,1,2,-2,12,0,0,1,0,1,0,0,13,7.7,100,16:36,1,27,26,32,44.8,2025-05-03
