rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,4,4,3,1,6,94,88,.936,1.59,0,,226,3,.750,0,61,3.87,0,0,0,0,2025-04-28
2,Jordan Binnington,31,STL,4,4,2,2,9,97,88,.907,2.29,0,,236,3,.750,1,88,1.18,0,0,0,0,2025-04-28
3,Mackenzie Blackwood,28,COL,4,4,2,2,7,114,107,.939,1.60,1,,263,3,.750,0,59,4.97,0,0,0,0,2025-04-28
4,Sergei Bobrovsky,36,FLA,3,3,2,1,6,62,56,.903,2.01,1,,179,2,.667,1,92,0.51,0,0,0,0,2025-04-28
5,Eric Comrie,29,WPG,2,0,0,0,1,9,8,.889,2.19,0,,27,0,,0,106,-0.06,0,0,0,0,2025-04-28
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,68,0.47,0,0,0,0,2025-04-28
7,Jakub Dobes,23,MTL,2,1,1,1,4,32,28,.875,2.77,0,,87,0,.000,0,119,-0.64,0,0,0,0,2025-04-28
8,Filip Gustavsson,26,MIN,4,4,2,2,11,136,125,.919,2.58,0,,256,3,.750,0,77,3.27,0,0,0,0,2025-04-28
9,Connor Hellebuyck,31,WPG,4,4,2,2,15,82,67,.817,4.24,0,,212,1,.250,3,174,-6.39,0,0,0,0,2025-04-28
10,Adin Hill,28,VEG,4,4,2,2,13,89,76,.854,3.30,0,,236,2,.500,2,139,-3.66,0,0,0,0,2025-04-28
11,Pyotr Kochetkov,25,CAR,1,0,0,0,1,15,14,.933,1.68,0,,36,0,,0,64,0.57,0,0,0,0,2025-04-28
12,Darcy Kuemper,34,LAK,4,4,2,2,16,133,117,.880,3.74,0,,257,2,.500,1,115,-2.04,0,0,0,0,2025-04-28
13,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,191,-0.48,0,0,0,0,2025-04-28
14,Jacob Markström,35,NJD,4,4,1,3,11,126,115,.913,2.53,0,,261,3,.750,0,83,2.22,0,0,0,0,2025-04-28
15,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,88,0.98,0,0,0,0,2025-04-28
16,Jake Oettinger,26,DAL,4,4,2,2,11,123,112,.911,2.72,0,,243,3,.750,1,85,1.91,0,0,0,0,2025-04-28
17,Calvin Pickard,32,EDM,3,2,2,0,8,72,64,.889,3.29,0,,146,1,.500,0,106,-0.44,0,0,0,0,2025-04-28
18,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.94,0,0,0,0,2025-04-28
19,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,181,-4.91,0,0,0,0,2025-04-28
20,Anthony Stolarz,31,TOR,4,4,3,1,10,102,92,.902,2.29,0,,262,3,.750,1,93,0.71,0,0,0,2,2025-04-28
21,Logan Thompson,27,WSH,4,4,3,1,10,114,104,.912,2.54,0,,236,3,.750,0,84,1.97,0,0,0,0,2025-04-28
22,Linus Ullmark,31,OTT,4,4,1,3,15,99,84,.848,3.44,0,,262,1,.250,1,144,-4.61,0,0,0,0,2025-04-28
23,Andrei Vasilevskiy,30,TBL,3,3,1,2,8,73,65,.890,2.70,0,,178,2,.667,1,104,-0.34,0,0,0,0,2025-04-28
