rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,5,5,4,1,7,108,101,.935,1.45,0,,290,4,.800,0,61,4.48,0,0,0,0,2025-05-07
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,93,1.40,0,0,0,0,2025-05-07
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,102,-0.30,0,0,0,0,2025-05-07
4,Sergei Bobrovsky,36,FLA,6,6,4,2,16,141,125,.887,2.69,1,,357,3,.500,2,107,-1.02,0,0,0,0,2025-05-07
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,72,0.38,0,0,0,0,2025-05-07
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,67,0.49,0,0,0,0,2025-05-07
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,112,-0.73,0,0,0,0,2025-05-07
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,134,-0.26,0,0,0,0,2025-05-07
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,81,3.66,0,0,0,0,2025-05-07
10,Connor Hellebuyck,31,WPG,7,7,4,3,26,153,127,.830,3.85,0,,405,1,.143,5,160,-9.74,0,0,0,0,2025-05-07
11,Adin Hill,28,VEG,7,7,4,3,21,170,149,.876,3.01,0,,419,4,.571,2,116,-2.94,0,0,0,0,2025-05-07
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,94,0.31,0,0,0,0,2025-05-07
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,105,-1.00,0,0,0,0,2025-05-07
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,188,-0.47,0,0,0,0,2025-05-07
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,84,3.13,0,0,0,0,2025-05-07
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,87,1.08,0,0,0,0,2025-05-07
17,Jake Oettinger,26,DAL,7,7,4,3,20,224,204,.911,2.85,0,,420,5,.714,1,84,3.80,0,0,0,0,2025-05-07
18,Calvin Pickard,32,EDM,6,5,5,0,15,138,123,.891,2.76,0,,326,2,.400,0,102,-0.34,0,0,0,0,2025-05-07
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.96,0,0,0,0,2025-05-07
20,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,178,-4.84,0,0,0,0,2025-05-07
21,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,93,1.05,0,0,0,2,2025-05-07
22,Logan Thompson,27,WSH,6,6,4,2,13,176,163,.926,2.17,0,,359,5,.833,0,70,5.70,0,0,0,0,2025-05-07
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,113,-2.06,0,0,0,0,2025-05-07
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,120,-2.72,0,0,0,0,2025-05-07
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.85,0,0,0,0,2025-05-07
26,Joseph Woll,26,TOR,1,0,1,0,3,20,17,.850,6.05,0,,30,0,,0,141,-0.87,0,0,0,0,2025-05-07
