rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,4,4,3,1,6,94,88,.936,1.59,0,,226,3,.750,0,60,3.92,0,0,0,0,2025-05-05
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,94,1.26,0,0,0,0,2025-05-05
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,102,-0.43,0,0,0,0,2025-05-05
4,Sergei Bobrovsky,36,FLA,5,5,4,1,11,111,100,.901,2.21,1,,299,3,.600,1,94,0.71,0,0,0,0,2025-05-05
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,73,0.37,0,0,0,0,2025-05-05
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,68,0.48,0,0,0,0,2025-05-05
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,112,-0.77,0,0,0,0,2025-05-05
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,135,-0.26,0,0,0,0,2025-05-05
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,82,3.52,0,0,0,0,2025-05-05
10,Connor Hellebuyck,31,WPG,7,7,4,3,26,153,127,.830,3.85,0,,405,1,.143,5,161,-9.86,0,0,0,0,2025-05-05
11,Adin Hill,28,VEG,6,6,4,2,17,142,125,.880,2.83,0,,360,4,.667,2,113,-2.02,0,0,0,0,2025-05-05
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,95,0.28,0,0,0,0,2025-05-05
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,105,-1.16,0,0,0,0,2025-05-05
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,190,-0.47,0,0,0,0,2025-05-05
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,84,2.99,0,0,0,0,2025-05-05
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,87,1.02,0,0,0,0,2025-05-05
17,Jake Oettinger,26,DAL,7,7,4,3,20,224,204,.911,2.85,0,,420,5,.714,1,85,3.64,0,0,0,0,2025-05-05
18,Calvin Pickard,32,EDM,5,4,4,0,13,121,108,.893,2.93,0,,266,2,.500,0,102,-0.23,0,0,0,0,2025-05-05
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.95,0,0,0,0,2025-05-05
20,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,180,-4.88,0,0,0,0,2025-05-05
21,Anthony Stolarz,31,TOR,6,6,4,2,14,142,128,.901,2.21,0,,380,4,.667,1,93,0.98,0,0,0,2,2025-05-05
22,Logan Thompson,27,WSH,5,5,4,1,11,143,132,.923,2.23,0,,296,4,.800,0,73,4.09,0,0,0,0,2025-05-05
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,114,-2.17,0,0,0,0,2025-05-05
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,121,-2.81,0,0,0,0,2025-05-05
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.84,0,0,0,0,2025-05-05
