rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,5,5,4,1,7,108,101,.935,1.45,0,,290,4,.800,0,61,4.52,0,0,0,0,2025-05-08
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,93,1.47,0,0,0,0,2025-05-08
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,101,-0.23,0,0,0,0,2025-05-08
4,Sergei Bobrovsky,36,FLA,7,7,4,3,20,161,141,.876,2.90,1,,414,3,.429,3,117,-2.83,0,0,0,0,2025-05-08
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,72,0.39,0,0,0,0,2025-05-08
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,67,0.49,0,0,0,0,2025-05-08
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,111,-0.71,0,0,0,0,2025-05-08
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,134,-0.25,0,0,0,0,2025-05-08
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,81,3.73,0,0,0,0,2025-05-08
10,Connor Hellebuyck,31,WPG,8,8,4,4,29,177,148,.836,3.75,0,,464,1,.125,5,154,-10.13,0,0,0,0,2025-05-08
11,Adin Hill,28,VEG,7,7,4,3,21,170,149,.876,3.01,0,,419,4,.571,2,116,-2.87,0,0,0,0,2025-05-08
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,94,0.33,0,0,0,0,2025-05-08
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,104,-0.93,0,0,0,0,2025-05-08
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,188,-0.47,0,0,0,0,2025-05-08
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,83,3.19,0,0,0,0,2025-05-08
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,86,1.10,0,0,0,0,2025-05-08
17,Jake Oettinger,26,DAL,8,8,5,3,22,255,233,.914,2.75,0,,480,6,.750,1,81,5.19,0,0,0,0,2025-05-08
18,Calvin Pickard,32,EDM,6,5,5,0,15,138,123,.891,2.76,0,,326,2,.400,0,102,-0.29,0,0,0,0,2025-05-08
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.96,0,0,0,0,2025-05-08
20,Stuart Skinner,26,EDM,2,2,0,2,11,58,47,.810,6.11,0,,108,0,.000,2,178,-4.82,0,0,0,0,2025-05-08
21,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,93,1.10,0,0,0,2,2025-05-08
22,Logan Thompson,27,WSH,6,6,4,2,13,176,163,.926,2.17,0,,359,5,.833,0,69,5.77,0,0,0,0,2025-05-08
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,113,-2.01,0,0,0,0,2025-05-08
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,120,-2.67,0,0,0,0,2025-05-08
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.85,0,0,0,0,2025-05-08
26,Joseph Woll,26,TOR,2,1,2,0,6,48,42,.875,4.01,0,,90,0,.000,0,117,-0.88,0,0,0,0,2025-05-08
