rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,5,3,5,8,1,2,0,3,0,1,3,2,0,14,21.4,112,22:19,3,17,50,36,58.1,2025-05-04
2,Alexander Alexeyev,25,WSH,D,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,55,11:02,5,4,0,0,,2025-05-04
3,Michael Amadio,28,OTT,C,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,99,16:32,0,22,2,0,100.0,2025-05-04
4,Josh Anderson,30,MTL,RW,5,0,1,1,-2,20,0,0,0,0,1,0,0,11,0.0,69,13:53,1,26,1,3,25.0,2025-05-04
5,Michael Anderson,25,LAK,D,6,0,1,1,-4,2,0,0,0,0,1,0,0,4,0.0,153,25:25,7,22,0,0,,2025-05-04
6,Jaret Anderson-Dolan,25,WPG,C,5,1,1,2,-1,2,1,0,0,0,1,0,0,3,33.3,42,8:20,2,19,2,0,100.0,2025-05-04
7,Mason Appleton,29,WPG,C,6,0,6,6,4,12,0,0,0,0,4,2,0,7,0.0,93,15:26,3,13,1,2,33.3,2025-05-04
8,Joel Armia,31,MTL,RW,5,0,2,2,2,2,0,0,0,0,2,0,0,4,0.0,62,12:24,0,8,0,0,,2025-05-04
9,Viktor Arvidsson,31,EDM,LW,6,1,1,2,1,4,1,0,0,0,1,0,0,12,8.3,69,11:28,0,3,3,3,50.0,2025-05-04
10,Oskar Back,24,DAL,C,6,0,2,2,-1,0,0,0,0,0,2,0,0,1,0.0,72,11:55,4,3,2,0,100.0,2025-05-04
11,Uvis Balinskis,28,FLA,D,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,37,12:21,4,4,0,0,,2025-05-04
12,Ivan Barbashev,29,VEG,C,6,1,1,2,-4,2,1,0,0,1,0,1,0,7,14.3,97,16:12,1,21,4,3,57.1,2025-05-04
13,Aleksander Barkov,29,FLA,C,5,1,4,5,2,0,1,0,0,0,2,2,0,10,10.0,93,18:33,5,9,51,35,59.3,2025-05-04
14,Morgan Barron,26,WPG,C,6,0,2,2,-3,0,0,0,0,0,2,0,0,7,0.0,76,12:36,1,16,24,20,54.5,2025-05-04
15,Nathan Bastian,27,NJD,RW,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,58,11:36,3,15,0,0,,2025-05-04
16,Drake Batherson,26,OTT,C,6,1,1,2,-4,10,1,0,0,0,0,1,0,9,11.1,105,17:29,3,27,2,2,50.0,2025-05-04
17,Anthony Beauvillier,27,WSH,LW,5,1,4,5,4,0,1,0,0,0,4,0,0,14,7.1,69,13:48,3,16,0,0,,2025-05-04
18,Jamie Benn,35,DAL,LW,7,1,1,2,-4,4,0,1,0,0,0,1,0,13,7.7,104,14:53,8,27,25,35,41.7,2025-05-04
19,Sam Bennett,28,FLA,C,5,3,2,5,1,4,3,0,0,1,2,0,0,17,17.6,79,15:48,6,21,16,23,41.0,2025-05-04
20,Simon Benoit,26,TOR,D,6,1,1,2,0,8,1,0,0,1,1,0,0,6,16.7,111,18:30,14,19,0,0,,2025-05-04
21,Lian Bichsel,20,DAL,D,7,0,0,0,-1,14,0,0,0,0,0,0,0,5,0.0,82,11:46,3,23,0,0,,2025-05-04
22,Colin Blackwell,31,DAL,C,6,1,0,1,-2,2,1,0,0,1,0,0,0,9,11.1,67,11:13,1,18,10,12,45.5,2025-05-04
23,Jackson Blake,21,CAR,RW,5,1,3,4,2,6,1,0,0,0,3,0,0,12,8.3,100,20:05,0,5,3,1,75.0,2025-05-04
24,Zach Bogosian,34,MIN,D,6,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,78,13:00,4,6,0,0,,2025-05-04
25,Zachary Bolduc,21,STL,C,6,0,1,1,-2,16,0,0,0,0,1,0,0,6,0.0,78,12:58,2,18,0,1,0.0,2025-05-04
26,Matt Boldy,23,MIN,LW,6,5,2,7,0,2,5,0,0,1,1,1,0,20,25.0,150,25:01,5,12,1,4,20.0,2025-05-04
27,Jesper Boqvist,26,FLA,C,5,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,40,8:04,3,10,0,2,0.0,2025-05-04
28,Evan Bouchard,25,EDM,D,6,4,3,7,-3,0,2,2,0,1,3,0,0,22,18.2,154,25:43,6,3,0,0,,2025-05-04
29,Mavrik Bourque,23,DAL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,24,11:54,3,3,3,7,30.0,2025-05-04
30,Jesper Bratt,26,NJD,W,5,1,2,3,-5,0,1,0,0,0,2,0,0,20,5.0,117,23:23,5,6,0,0,,2025-05-04
31,Justin Brazeau,26,MIN,F,6,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,48,7:57,2,22,0,0,,2025-05-04
32,Philip Broberg,23,STL,D,6,1,1,2,9,2,1,0,0,0,1,0,0,6,16.7,119,19:51,6,1,0,0,,2025-05-04
33,Jonas Brodin,31,MIN,D,6,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,149,24:48,11,6,0,0,,2025-05-04
34,Connor Brown,31,EDM,RW,6,3,2,5,2,0,3,0,0,0,2,0,0,10,30.0,87,14:29,2,5,3,4,42.9,2025-05-04
35,Josh Brown,31,EDM,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:54,3,0,0,0,,2025-05-04
36,Pavel Buchnevich,29,STL,LW,6,3,4,7,2,14,2,1,0,0,2,2,0,10,30.0,111,18:34,4,14,1,1,50.0,2025-05-04
37,Zeev Buium,19,MIN,D,4,0,1,1,-1,4,0,0,0,0,0,1,0,2,0.0,54,13:36,1,3,0,0,,2025-05-04
38,Brent Burns,39,CAR,D,5,1,1,2,-1,2,1,0,0,0,1,0,0,8,12.5,118,23:31,6,4,0,0,,2025-05-04
39,Quinton Byfield,22,LAK,C,6,3,1,4,-7,2,3,0,0,0,1,0,0,18,16.7,135,22:27,2,14,36,47,43.4,2025-05-04
40,Brandon Carlo,28,TOR,D,6,0,0,0,0,4,0,0,0,0,0,0,0,6,0.0,118,19:44,12,1,0,0,,2025-05-04
41,John Carlson,35,WSH,D,5,0,1,1,6,2,0,0,0,0,0,1,0,6,0.0,121,24:07,7,0,0,0,,2025-05-04
42,Alexandre Carrier,28,MTL,D,5,1,1,2,0,0,1,0,0,0,1,0,0,8,12.5,104,20:44,15,7,0,0,,2025-05-04
43,William Carrier,30,CAR,LW,5,0,0,0,1,2,0,0,0,0,0,0,0,8,0.0,62,12:19,3,17,0,0,,2025-05-04
44,Seamus Casey,21,NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:13,2,1,0,0,,2025-05-04
45,Cole Caufield,24,MTL,RW,5,3,1,4,-6,0,1,2,0,0,1,0,0,24,12.5,98,19:35,0,5,1,1,50.0,2025-05-04
46,Cody Ceci,31,DAL,D,7,0,3,3,0,0,0,0,0,0,3,0,0,5,0.0,162,23:05,14,12,0,0,,2025-05-04
47,Erik Černák,27,TBL,D,5,1,0,1,1,4,1,0,0,0,0,0,0,14,7.1,90,17:56,7,15,0,0,,2025-05-04
48,Thomas Chabot,28,OTT,D,6,1,3,4,1,2,1,0,0,1,2,1,0,11,9.1,150,24:58,8,8,0,0,,2025-05-04
49,Mitchell Chaffee,27,TBL,F,4,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,45,11:20,1,8,0,0,,2025-05-04
50,Jalen Chatfield,28,CAR,D,5,1,0,1,3,4,1,0,0,0,0,0,0,3,33.3,112,22:27,6,6,0,0,,2025-05-04
51,Dennis Cholowski,26,NJD,D,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,8:59,2,0,0,0,,2025-05-04
52,Jakob Chychrun,26,WSH,D,5,2,1,3,7,4,2,0,0,1,1,0,0,9,22.2,117,23:27,15,5,0,0,,2025-05-04
53,Anthony Cirelli,27,TBL,C,5,1,0,1,-4,18,1,0,0,0,0,0,0,5,20.0,81,16:15,8,14,33,35,48.5,2025-05-04
54,Brandt Clarke,21,LAK,D,6,2,0,2,1,0,1,1,0,0,0,0,0,6,33.3,77,12:47,6,4,0,0,,2025-05-04
55,Ross Colton,28,COL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,7:04,0,3,1,0,100.0,2025-05-04
56,Kyle Connor,28,WPG,LW,6,4,5,9,1,0,4,0,0,2,3,2,0,15,26.7,123,20:27,4,3,0,0,,2025-05-04
57,Paul Cotter,25,NJD,C,5,0,1,1,-1,2,0,0,0,0,1,0,0,5,0.0,72,14:25,3,22,0,1,0.0,2025-05-04
58,Nick Cousins,31,OTT,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,47,9:20,1,14,1,1,50.0,2025-05-04
59,Charlie Coyle,32,COL,C,7,1,0,1,-4,2,1,0,0,0,0,0,0,7,14.3,90,12:50,3,23,46,34,57.5,2025-05-04
60,Dylan Cozens,23,OTT,C,6,1,1,2,-2,12,0,0,1,0,1,0,0,13,7.7,100,16:36,1,27,26,32,44.8,2025-05-04
61,Evgenii Dadonov,35,DAL,RW,7,1,1,2,-2,2,1,0,0,0,1,0,0,10,10.0,91,12:56,5,10,0,0,,2025-05-04
62,Phillip Danault,31,LAK,C,6,2,6,8,2,0,2,0,0,1,4,2,0,9,22.2,124,20:39,12,13,64,57,52.9,2025-05-04
63,Dylan DeMelo,31,WPG,D,5,1,1,2,-2,4,1,0,0,0,1,0,0,6,16.7,102,20:25,6,9,0,0,,2025-05-04
64,Ivan Demidov,19,MTL,RW,5,0,2,2,-5,0,0,0,0,0,0,2,0,2,0.0,72,14:29,2,8,0,0,,2025-05-04
65,Brenden Dillon,34,NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:53,0,4,0,0,,2025-05-04
66,Max Domi,29,TOR,LW,6,1,1,2,0,4,1,0,0,1,1,0,0,8,12.5,83,13:50,0,11,25,17,59.5,2025-05-04
67,Pavel Dorofeyev,24,VEG,LW,5,1,1,2,-5,0,0,1,0,0,0,1,0,18,5.6,88,17:40,2,3,0,0,,2025-05-04
68,Drew Doughty,35,LAK,D,6,1,3,4,-7,6,0,1,0,0,3,0,0,10,10.0,163,27:12,7,12,0,0,,2025-05-04
69,Nic Dowd,34,WSH,C,5,0,1,1,1,4,0,0,0,0,1,0,0,7,0.0,78,15:33,9,11,36,37,49.3,2025-05-04
70,Justin Dowling,34,NJD,C,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,56,11:15,1,12,22,26,45.8,2025-05-04
71,Leon Draisaitl,29,EDM,C,6,3,7,10,6,2,2,1,0,1,4,3,0,18,16.7,139,23:05,4,9,52,48,52.0,2025-05-04
72,Jonathan Drouin,29,COL,LW,7,0,3,3,-6,0,0,0,0,0,0,3,0,9,0.0,102,14:37,4,5,4,3,57.1,2025-05-04
73,Jack Drury,24,COL,C,7,1,1,2,2,4,1,0,0,0,1,0,0,9,11.1,90,12:54,4,8,38,23,62.3,2025-05-04
74,Pierre-Luc Dubois,26,WSH,LW,5,0,2,2,4,4,0,0,0,0,2,0,0,8,0.0,85,17:06,3,12,38,31,55.1,2025-05-04
75,Matt Duchene,34,DAL,C,7,0,3,3,-6,4,0,0,0,0,0,3,0,10,0.0,123,17:33,6,4,20,18,52.6,2025-05-04
76,Brandon Duhaime,27,WSH,RW,5,3,0,3,1,8,3,0,0,0,0,0,0,8,37.5,73,14:31,7,20,1,4,20.0,2025-05-04
77,Brian Dumoulin,33,NJD,D,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,147,29:21,14,14,0,0,,2025-05-04
78,Christian Dvorak,28,MTL,C,5,2,0,2,-1,4,2,0,0,1,0,0,0,7,28.6,82,16:22,5,5,40,39,50.6,2025-05-04
79,Joel Edmundson,31,LAK,D,6,0,1,1,2,2,0,0,0,0,1,0,0,2,0.0,139,23:14,17,16,0,0,,2025-05-04
80,Nikolaj Ehlers,28,WPG,LW,1,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,16,16:00,0,1,0,0,,2025-05-04
81,Jack Eichel,28,VEG,C,6,1,4,5,-4,0,1,0,0,0,1,2,1,19,5.3,135,22:26,8,13,47,52,47.5,2025-05-04
82,Aaron Ekblad,28,FLA,D,2,1,0,1,-3,0,1,0,0,0,0,0,0,3,33.3,43,21:16,4,6,0,0,,2025-05-04
83,Oliver Ekman-Larsson,33,TOR,D,6,2,0,2,2,2,2,0,0,0,0,0,0,8,25.0,118,19:42,6,10,0,0,,2025-05-04
84,Lars Eller,35,WSH,C,5,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,55,11:04,1,11,21,17,55.3,2025-05-04
85,Ty Emberson,24,EDM,D,6,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,65,10:45,3,11,0,0,,2025-05-04
86,Joel Eriksson Ek,28,MIN,C,6,0,3,3,0,4,0,0,0,0,2,1,0,19,0.0,132,22:00,10,8,82,71,53.6,2025-05-04
87,Jake Evans,28,MTL,C,5,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,78,15:30,2,11,36,30,54.5,2025-05-04
88,Brock Faber,22,MIN,D,6,0,0,0,2,2,0,0,0,0,0,0,0,4,0.0,162,27:04,12,4,0,0,,2025-05-04
89,Radek Faksa,31,STL,C,6,0,4,4,6,2,0,0,0,0,4,0,0,1,0.0,83,13:49,4,18,43,33,56.6,2025-05-04
90,Justin Faulk,32,STL,D,6,1,2,3,5,8,1,0,0,0,1,1,0,11,9.1,129,21:31,8,16,0,0,,2025-05-04
91,Kevin Fiala,28,LAK,LW,6,3,4,7,0,2,1,2,0,0,2,2,0,25,12.0,131,21:53,5,20,0,0,,2025-05-04
92,Haydn Fleury,28,WPG,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,12:58,0,1,0,0,,2025-05-04
93,Warren Foegele,28,LAK,LW,6,1,2,3,1,0,1,0,0,0,1,1,0,25,4.0,112,18:41,5,19,2,3,40.0,2025-05-04
94,Marcus Foligno,33,MIN,LW,6,3,1,4,4,6,2,0,1,0,1,0,0,10,30.0,96,16:04,3,42,1,4,20.0,2025-05-04
95,Gustav Forsling,28,FLA,D,5,0,1,1,1,4,0,0,0,0,1,0,0,8,0.0,117,23:29,11,6,0,0,,2025-05-04
96,Cam Fowler,33,STL,D,6,2,8,10,0,0,2,0,0,1,3,5,0,11,18.2,122,20:24,7,2,0,0,,2025-05-04
97,Trent Frederic,26,EDM,C,6,1,2,3,0,2,1,0,0,1,2,0,0,8,12.5,63,10:27,1,18,2,1,66.7,2025-05-04
98,Brendan Gallagher,32,MTL,RW,5,0,2,2,-7,0,0,0,0,0,1,1,0,13,0.0,78,15:37,1,16,0,1,0.0,2025-05-04
99,Adam Gaudette,28,OTT,C,6,1,2,3,2,4,1,0,0,0,1,0,1,4,25.0,56,9:17,5,9,9,17,34.6,2025-05-04
100,Frédérick Gaudreau,31,MIN,C,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,87,14:27,6,8,22,34,39.3,2025-05-04
101,Vladislav Gavrikov,29,LAK,D,6,0,2,2,-1,2,0,0,0,0,2,0,0,5,0.0,126,21:00,10,4,0,0,,2025-05-04
102,Conor Geekie,20,TBL,C,4,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,49,12:22,3,8,1,1,50.0,2025-05-04
103,Samuel Girard,26,COL,D,7,1,2,3,2,0,1,0,0,0,2,0,0,7,14.3,123,17:38,8,9,0,0,,2025-05-04
104,Zemgus Girgensons,31,TBL,C,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,55,10:56,0,13,2,5,28.6,2025-05-04
105,Claude Giroux,37,OTT,C,6,1,4,5,3,0,0,1,0,0,3,1,0,7,14.3,105,17:30,1,7,29,35,45.3,2025-05-04
106,Cody Glass,25,NJD,C,5,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,70,14:06,4,9,27,25,51.9,2025-05-04
107,Luke Glendening,35,TBL,C,5,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,49,9:43,5,13,31,27,53.4,2025-05-04
108,Gage Goncalves,24,TBL,C,5,1,3,4,-2,2,1,0,0,0,3,0,0,4,25.0,85,16:54,4,15,1,0,100.0,2025-05-04
