rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,10,3,7,10,4,4,0,3,0,1,4,3,0,22,13.6,210,20:58,7,33,90,76,54.2,2025-05-18
2,Alexander Alexeyev,25,WSH,D,10,0,0,0,-2,4,0,0,0,0,0,0,0,6,0.0,104,10:25,12,12,0,0,,2025-05-18
3,Michael Amadio,28,OTT,C,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,99,16:32,0,22,2,0,100.0,2025-05-18
4,Josh Anderson,30,MTL,RW,5,0,1,1,-2,20,0,0,0,0,1,0,0,11,0.0,69,13:53,1,26,1,3,25.0,2025-05-18
5,Michael Anderson,25,LAK,D,6,0,1,1,-4,2,0,0,0,0,1,0,0,4,0.0,153,25:25,7,22,0,0,,2025-05-18
6,Jaret Anderson-Dolan,25,WPG,C,5,1,1,2,-1,2,1,0,0,0,1,0,0,3,33.3,42,8:20,2,19,2,0,100.0,2025-05-18
7,Mason Appleton,29,WPG,C,13,0,7,7,5,14,0,0,0,0,5,2,0,16,0.0,193,14:51,7,28,1,2,33.3,2025-05-18
8,Joel Armia,31,MTL,RW,5,0,2,2,2,2,0,0,0,0,2,0,0,4,0.0,62,12:24,0,8,0,0,,2025-05-18
9,Viktor Arvidsson,31,EDM,LW,9,1,3,4,2,4,1,0,0,0,3,0,0,19,5.3,100,11:06,2,4,3,3,50.0,2025-05-18
10,Oskar Back,24,DAL,C,8,0,2,2,-2,0,0,0,0,0,2,0,0,1,0.0,91,11:23,5,5,2,1,66.7,2025-05-18
11,Uvis Balinskis,28,FLA,D,4,1,0,1,4,2,1,0,0,0,0,0,0,2,50.0,48,12:05,6,6,0,0,,2025-05-18
12,Ivan Barbashev,29,VEG,C,11,1,1,2,-9,6,1,0,0,1,0,1,0,14,7.1,193,17:30,6,43,7,4,63.6,2025-05-18
13,Aleksander Barkov,29,FLA,C,11,3,5,8,2,2,2,1,0,0,2,3,0,26,11.5,220,19:58,8,31,110,76,59.1,2025-05-18
14,Morgan Barron,26,WPG,C,13,0,2,2,-6,2,0,0,0,0,2,0,0,13,0.0,156,12:02,1,37,47,54,46.5,2025-05-18
15,Nathan Bastian,27,NJD,RW,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,58,11:36,3,15,0,0,,2025-05-18
16,Drake Batherson,26,OTT,C,6,1,1,2,-4,10,1,0,0,0,0,1,0,9,11.1,105,17:29,3,27,2,2,50.0,2025-05-18
17,Anthony Beauvillier,27,WSH,LW,10,2,4,6,1,2,2,0,0,0,4,0,0,21,9.5,130,13:03,4,31,0,0,,2025-05-18
18,Jamie Benn,35,DAL,LW,13,1,2,3,-6,24,0,1,0,0,1,1,0,20,5.0,179,13:44,8,50,31,40,43.7,2025-05-18
19,Sam Bennett,28,FLA,C,11,6,3,9,0,8,5,1,0,1,3,0,0,33,18.2,184,16:42,7,56,33,65,33.7,2025-05-18
20,Simon Benoit,26,TOR,D,12,1,1,2,-4,10,1,0,0,1,1,0,0,9,11.1,218,18:11,35,38,0,0,,2025-05-18
21,Lian Bichsel,20,DAL,D,13,0,0,0,1,20,0,0,0,0,0,0,0,7,0.0,149,11:26,5,54,0,0,,2025-05-18
22,Colin Blackwell,31,DAL,C,7,1,0,1,-3,2,1,0,0,1,0,0,0,9,11.1,78,11:10,3,19,13,15,46.4,2025-05-18
23,Jackson Blake,21,CAR,RW,10,2,3,5,1,10,1,1,0,0,3,0,0,19,10.5,188,18:45,0,12,3,4,42.9,2025-05-18
24,Zach Bogosian,34,MIN,D,6,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,78,13:00,4,6,0,0,,2025-05-18
25,Zachary Bolduc,21,STL,C,7,0,1,1,-1,16,0,0,0,0,1,0,0,7,0.0,93,13:17,2,19,0,1,0.0,2025-05-18
26,Matt Boldy,23,MIN,LW,6,5,2,7,0,2,5,0,0,1,1,1,0,20,25.0,150,25:01,5,12,1,4,20.0,2025-05-18
27,Jesper Boqvist,26,FLA,C,9,1,1,2,-3,0,1,0,0,0,1,0,0,5,20.0,80,8:53,4,30,1,3,25.0,2025-05-18
28,Evan Bouchard,25,EDM,D,11,4,8,12,4,4,2,2,0,1,7,1,0,30,13.3,290,26:24,14,6,0,0,,2025-05-18
29,Mavrik Bourque,23,DAL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,24,11:54,3,3,3,7,30.0,2025-05-18
30,Jesper Bratt,26,NJD,W,5,1,2,3,-5,0,1,0,0,0,2,0,0,20,5.0,117,23:23,5,6,0,0,,2025-05-18
31,Justin Brazeau,26,MIN,F,6,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,48,7:57,2,22,0,0,,2025-05-18
32,Philip Broberg,23,STL,D,7,1,1,2,9,2,1,0,0,0,1,0,0,8,12.5,155,22:07,10,4,0,0,,2025-05-18
33,Jonas Brodin,31,MIN,D,6,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,149,24:48,11,6,0,0,,2025-05-18
34,Connor Brown,31,EDM,RW,11,4,3,7,3,2,4,0,0,0,3,0,0,19,21.1,168,15:19,6,10,4,4,50.0,2025-05-18
35,Josh Brown,31,EDM,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:54,3,0,0,0,,2025-05-18
36,Pavel Buchnevich,29,STL,LW,7,3,5,8,1,14,2,1,0,0,3,2,0,14,21.4,144,20:35,4,14,1,1,50.0,2025-05-18
37,Zeev Buium,19,MIN,D,4,0,1,1,-1,4,0,0,0,0,0,1,0,2,0.0,54,13:36,1,3,0,0,,2025-05-18
38,Brent Burns,39,CAR,D,10,1,2,3,1,6,1,0,0,0,1,1,0,14,7.1,222,22:13,9,6,0,0,,2025-05-18
39,Quinton Byfield,22,LAK,C,6,3,1,4,-7,2,3,0,0,0,1,0,0,18,16.7,135,22:27,2,14,36,47,43.4,2025-05-18
40,Brandon Carlo,28,TOR,D,12,0,0,0,-2,8,0,0,0,0,0,0,0,13,0.0,230,19:08,27,9,0,0,,2025-05-18
41,John Carlson,35,WSH,D,10,1,2,3,3,2,0,1,0,1,1,1,0,13,7.7,243,24:15,16,10,0,0,,2025-05-18
42,Alexandre Carrier,28,MTL,D,5,1,1,2,0,0,1,0,0,0,1,0,0,8,12.5,104,20:44,15,7,0,0,,2025-05-18
43,William Carrier,30,CAR,LW,10,0,0,0,3,4,0,0,0,0,0,0,0,16,0.0,114,11:24,3,41,2,0,100.0,2025-05-18
44,Seamus Casey,21,NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:13,2,1,0,0,,2025-05-18
45,Cole Caufield,24,MTL,RW,5,3,1,4,-6,0,1,2,0,0,1,0,0,24,12.5,98,19:35,0,5,1,1,50.0,2025-05-18
46,Cody Ceci,31,DAL,D,13,0,3,3,-1,2,0,0,0,0,3,0,0,13,0.0,285,21:56,21,19,0,0,,2025-05-18
47,Erik Černák,27,TBL,D,5,1,0,1,1,4,1,0,0,0,0,0,0,14,7.1,90,17:56,7,15,0,0,,2025-05-18
48,Thomas Chabot,28,OTT,D,6,1,3,4,1,2,1,0,0,1,2,1,0,11,9.1,150,24:58,8,8,0,0,,2025-05-18
49,Mitchell Chaffee,27,TBL,F,4,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,45,11:20,1,8,0,0,,2025-05-18
50,Jalen Chatfield,28,CAR,D,9,1,0,1,6,6,1,0,0,0,0,0,0,8,12.5,184,20:24,11,9,0,0,,2025-05-18
51,Dennis Cholowski,26,NJD,D,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,8:59,2,0,0,0,,2025-05-18
52,Jakob Chychrun,26,WSH,D,10,3,2,5,3,6,3,0,0,1,1,1,0,18,16.7,239,23:53,30,13,0,0,,2025-05-18
53,Anthony Cirelli,27,TBL,C,5,1,0,1,-4,18,1,0,0,0,0,0,0,5,20.0,81,16:15,8,14,33,35,48.5,2025-05-18
54,Brandt Clarke,21,LAK,D,6,2,0,2,1,0,1,1,0,0,0,0,0,6,33.3,77,12:47,6,4,0,0,,2025-05-18
55,Ross Colton,28,COL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,7:04,0,3,1,0,100.0,2025-05-18
56,Kyle Connor,28,WPG,LW,13,5,12,17,4,0,5,0,0,2,8,4,0,45,11.1,290,22:17,5,11,0,0,,2025-05-18
57,Paul Cotter,25,NJD,C,5,0,1,1,-1,2,0,0,0,0,1,0,0,5,0.0,72,14:25,3,22,0,1,0.0,2025-05-18
58,Nick Cousins,31,OTT,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,47,9:20,1,14,1,1,50.0,2025-05-18
